CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2019-9151 - MEDIUM -  hdf5: out of bounds read in function H5VM_memcpyvv in H5VM.c
CVE-2022-1215 - MEDIUM -  libinput: format string vulnerability may lead to privilege escalation
CVE-2022-1354 - MEDIUM -  libtiff: heap-buffer-overflow in TIFFReadRawDataStriped() in tiffinfo.c
CVE-2018-25011 - MEDIUM -  libwebp: heap-based buffer overflow in PutLE16()
CVE-2018-25013 - MEDIUM -  libwebp: out-of-bounds read in ShiftBytes()
CVE-2018-25009 - MEDIUM -  libwebp: out-of-bounds read in WebPMuxCreateInternal
CVE-2018-25012 - MEDIUM -  libwebp: out-of-bounds read in WebPMuxCreateInternal()
CVE-2018-25014 - MEDIUM -  libwebp: use of uninitialized value in ReadSymbol()
CVE-2022-23308 - MEDIUM -  libxml2: Use-after-free of ID and IDREF attributes
CVE-2022-29824 - MEDIUM -  libxml2: integer overflows in xmlBuf and xmlBuffer lead to out-of-bounds write
CVE-2021-2174 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2021)
CVE-2021-2180 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2021)
CVE-2021-2194 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2021)
CVE-2022-21417 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2022)
CVE-2022-21451 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2022)
CVE-2021-2372 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Jul 2021)
CVE-2021-2389 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Jul 2021)
CVE-2021-2162 - MEDIUM -  mysql: Server: Audit Plug-in unspecified vulnerability (CPU Apr 2021)
CVE-2022-21367 - MEDIUM -  mysql: Server: Compiling unspecified vulnerability (CPU Jan 2022)
CVE-2022-21444 - MEDIUM -  mysql: Server: DDL unspecified vulnerability (CPU Apr 2022)
CVE-2021-2154 - MEDIUM -  mysql: Server: DML unspecified vulnerability (CPU Apr 2021)
CVE-2021-2166 - MEDIUM -  mysql: Server: DML unspecified vulnerability (CPU Apr 2021)
CVE-2022-21427 - MEDIUM -  mysql: Server: FTS unspecified vulnerability (CPU Apr 2022)
CVE-2022-21270 - MEDIUM -  mysql: Server: Federated unspecified vulnerability (CPU Jan 2022)
CVE-2021-2179 - MEDIUM -  mysql: Server: Group Replication Plugin unspecified vulnerability (CPU Apr 2021)
CVE-2022-21454 - MEDIUM -  mysql: Server: Group Replication Plugin unspecified vulnerability (CPU Apr 2022)
CVE-2022-21460 - MEDIUM -  mysql: Server: Logging unspecified vulnerability (CPU Apr 2022)
CVE-2021-2169 - MEDIUM -  mysql: Server: Optimizer unspecified vulnerability (CPU Apr 2021)
CVE-2021-2342 - MEDIUM -  mysql: Server: Optimizer unspecified vulnerability (CPU Jul 2021)
CVE-2021-2146 - MEDIUM -  mysql: Server: Options unspecified vulnerability (CPU Apr 2021)
CVE-2021-2307 - MEDIUM -  mysql: Server: Packaging unspecified vulnerability (CPU Apr 2021)
CVE-2022-21304 - MEDIUM -  mysql: Server: Parser unspecified vulnerability (CPU Jan 2022)
CVE-2021-2171 - MEDIUM -  mysql: Server: Replication unspecified vulnerability (CPU Apr 2021)
CVE-2022-21344 - MEDIUM -  mysql: Server: Replication unspecified vulnerability (CPU Jan 2022)
CVE-2021-2385 - MEDIUM -  mysql: Server: Replication unspecified vulnerability (CPU Jul 2021)
CVE-2022-21245 - MEDIUM -  mysql: Server: Security: Privileges unspecified vulnerability (CPU Jan 2022)
CVE-2022-21303 - MEDIUM -  mysql: Server: Stored Procedure unspecified vulnerability (CPU Jan 2022)
CVE-2021-3933 - MEDIUM -  openexr: Integer-overflow in Imf_3_1::bytesPerDeepLineTable
CVE-2022-1292 - MEDIUM -  openssl: c_rehash script allows command injection
CVE-2022-1552 - MEDIUM -  postgresql: Autovacuum, REINDEX, and others omit "security restricted operation" sandbox
CVE-2021-32027 - MEDIUM -  postgresql: Buffer overrun from integer overflow in array subscripting calculations
CVE-2021-23222 - MEDIUM -  postgresql: libpq processes unencrypted bytes from man-in-the-middle
CVE-2021-23214 - MEDIUM -  postgresql: server processes unencrypted bytes from man-in-the-middle
CVE-2021-4189 - MEDIUM -  python: ftplib should not use the host from the PASV response
CVE-2021-38593 - MEDIUM -  qt: out-of-bounds write in QOutlineMapper::convertPath called from QRasterPaintEngine::fill and QPaintEngineEx::stroke
CVE-2021-45930 - MEDIUM -  qt: out-of-bounds write may lead to DoS
CVE-2020-23903 - MEDIUM -  speex: divide by zero in read_samples() via crafted WAV file
CVE-2018-19199 - MEDIUM -  uriparser: Integer overflow via uriComposeQuery* or uriComposeQueryEx* function
CVE-2018-19200 - MEDIUM -  uriparser: NULL pointer dereference via uriResetUri* function
CVE-2018-20721 - MEDIUM -  uriparser: Out-of-bounds read in uriParse*Ex*
CVE-2018-19198 - MEDIUM -  uriparser: Out-of-bounds write via uriComposeQuery* or uriComposeQueryEx* function
CVE-2012-0880 - MEDIUM -  xml: xerces-c hash table collisions CPU usage DoS (oCERT-2011-003)
