CVE-2022-21499 - HIGH -  ELSA-2022-9427:  Unbreakable Enterprise kernel-container security update (IMPORTANT)
CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2018-17977 - MEDIUM -  kernel: Mishandled interactions among XFRM Netlink messages, IPPROTO_AH packets, and IPPROTO_IP packets resulting in a denial of service
CVE-2022-1263 - MEDIUM -  kernel: Null pointer dereference in kvm_dirty_ring_push in virt/kvm/dirty_ring.c
CVE-2022-0400 - MEDIUM -  kernel: Out of bounds read in the smc protocol stack
CVE-2022-1012 - MEDIUM -  kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak
CVE-2020-24504 - MEDIUM -  kernel: Uncontrolled resource consumption in some Intel(R) Ethernet E810 Adapter drivers
CVE-2022-28893 - MEDIUM -  kernel: Use after free in SUNRPC subsystem
CVE-2022-1734 - MEDIUM -  kernel: Use-After-Free in NFC driver in nfcmrvl_nci_unregister_dev when simulating NFC device from user-space
CVE-2022-0998 - MEDIUM -  kernel: an integer overflow in the vhost_vdpa_config_validate() can lead to out-of-bounds access on top of a 32-bit Linux kernel
CVE-2021-4159 - MEDIUM -  kernel: another kernel ptr leak vulnerability via BPF in coerce_reg_to_size
CVE-2021-3864 - MEDIUM -  kernel: descendant's dumpable setting with certain SUID binaries
CVE-2022-0382 - MEDIUM -  kernel: information leak due to uninitialized memory in __tipc_sendmsg() in net/tipc/socket.c
CVE-2021-33061 - MEDIUM -  kernel: insufficient control flow management for the Intel(R) 82599 Ethernet Controllers and Adapters may lead to DoS
CVE-2022-1786 - MEDIUM -  kernel: invalid-free in io_uring that can lead to LPE
CVE-2022-0480 - MEDIUM -  kernel: memcg does not limit the number of POSIX file locks allowing memory exhaustion
CVE-2022-1508 - MEDIUM -  kernel: out-of-bounds read in iov_iter_revert() in lib/iov_iter.c
CVE-2022-1048 - MEDIUM -  kernel: race condition in snd_pcm_hw_free leading to use-after-free
CVE-2021-4001 - MEDIUM -  kernel: race condition when the EBPF map is frozen
CVE-2022-0168 - MEDIUM -  kernel: smb2_ioctl_query_info NULL Pointer Dereference
CVE-2021-4218 - MEDIUM -  kernel: sysctl parameter read causes kernel panic ( rpcrdma module )
CVE-2020-36278 - MEDIUM -  leptonica: heap-based buffer overflow in findNextBorderPixel in ccbord.c
CVE-2020-36279 - MEDIUM -  leptonica: heap-based buffer overflow in rasteropGeneralLow
CVE-2022-1354 - MEDIUM -  libtiff: heap-buffer-overflow in TIFFReadRawDataStriped() in tiffinfo.c
CVE-2019-9423 - MEDIUM -  opencv: Out of bounds write due to missing bounds check
CVE-2019-16249 - MEDIUM -  opencv: Out-of-bounds read in hal_baseline::v_load in core/hal/intrin_sse.hpp
CVE-2020-35678 - MEDIUM -  python-autobahn: allows redirect header injection
CVE-2022-24801 - MEDIUM -  python-twisted: possible http request smuggling
CVE-2020-13962 - MEDIUM -  qt5: incorrectly calls SSL_shutdown() in OpenSSL mid-handshake causing denial of service in TLS applications
CVE-2022-25255 - MEDIUM -  qt: QProcess could execute a binary from the current working directory when not found in the PATH
CVE-2021-46141 - MEDIUM -  uriparser: Invalid free operations in uriFreeUriMembers and uriMakeOwner
CVE-2021-46142 - MEDIUM -  uriparser: Invalid free operations in uriNormalizeSyntax.
CVE-2012-0880 - MEDIUM -  xml: xerces-c hash table collisions CPU usage DoS (oCERT-2011-003)
