CVE-2022-23960 - HIGH -  hw: cpu: arm64: Spectre-BHB
CVE-2020-12363 - LOW -  kernel: Improper input validation in some Intel(R) Graphics Drivers
CVE-2019-19815 - LOW -  kernel: NULL pointer dereference in f2fs_recover_fsync_data in fs/f2fs/recovery.c
CVE-2018-12928 - LOW -  kernel: NULL pointer dereference in hfs_ext_read_extent in hfs.ko
CVE-2020-12364 - LOW -  kernel: Null pointer dereference in some Intel(R) Graphics Drivers
CVE-2020-35501 - LOW -  kernel: audit not logging access to syscall open_by_handle_at for users with CAP_DAC_READ_SEARCH capability
CVE-2020-14304 - LOW -  kernel: ethtool when reading eeprom of device could lead to memory leak
CVE-2020-11725 - LOW -  kernel: improper handling of private_size*count multiplication due to count=info->owner typo
CVE-2019-16230 - LOW -  kernel: null pointer dereference in drivers/gpu/drm/radeon/radeon_display.c
CVE-2019-19814 - LOW -  kernel: out-of-bounds write in __remove_dirty_segment in fs/f2fs/segment.c
CVE-2019-19378 - LOW -  kernel: out-of-bounds write in index_rbio_pages in fs/btrfs/raid56.c
CVE-2021-39686 - LOW -  kernel: race condition in the Android binder driver could lead to incorrect security checks
CVE-2018-12931 - LOW -  kernel: stack-based out-of-bounds write in ntfs_attr_find in the ntfs.ko
CVE-2018-12930 - LOW -  kernel: stack-based out-of-bounds write in ntfs_end_buffer_async_read in the ntfs.ko
CVE-2022-0854 - LOW -  kernel: swiotlb information leak with DMA_FROM_DEVICE
CVE-2019-15213 - LOW -  kernel: use-after-free caused by malicious USB device in drivers/media/usb/dvb-usb/dvb-usb-init.c
CVE-2020-27820 - LOW -  kernel: use-after-free in nouveau kernel module
CVE-2018-12929 - LOW -  kernel: use-after-free in ntfs_read_locked_inode in the ntfs.ko
CVE-2021-23177 - LOW -  libarchive: extracting a symlink with ACLs modifies ACLs of target
CVE-2021-31566 - LOW -  libarchive: symbolic links incorrectly followed when changing modes, times, ACL and flags of a file while extracting an archive
CVE-2017-8871 - LOW -  libcroco: Infinite loop in the cr_parser_parse_selector_core function
CVE-2017-8834 - LOW -  libcroco: Memory allocation failure in the cr_tknzr_parse_comment function
CVE-2017-7960 - LOW -  libcroco: Out-of-bounds read due to missing index check in cr-input.c
CVE-2020-12825 - LOW -  libcroco: Stack overflow in function cr_parser_parse_any_core in cr-parser.c
CVE-2018-20657 - LOW -  libiberty: Memory leak in demangle_template function resulting in a denial of service
CVE-2018-14048 - LOW -  libpng: Segmentation fault in png.c:png_free_data function causing denial of service
CVE-2018-10126 - LOW -  libtiff: NULL pointer dereference in the jpeg_fdct_16x16 function in jfdctint.c
CVE-2017-9937 - LOW -  libtiff: memory malloc failure in tif_jbig.c could cause DOS.
CVE-2017-14160 - LOW -  libvorbis: Out-of-bounds read in the bark_noise_hybridmp function
CVE-2018-10392 - LOW -  libvorbis: heap buffer overflow in mapping0_forward function
CVE-2018-10393 - LOW -  libvorbis: stack buffer overflow in bark_noise_hybridmp function
CVE-2021-39537 - LOW -  ncurses: heap-based buffer overflow in _nc_captoinfo() in captoinfo.c
CVE-2019-17594 - LOW -  ncurses: heap-based buffer overflow in the _nc_find_entry function in tinfo/comp_hash.c
CVE-2019-17595 - LOW -  ncurses: heap-based buffer overflow in the fmt_entry function in tinfo/comp_hash.c
CVE-2022-29458 - LOW -  ncurses: segfaulting OOB read
CVE-2017-11697 - LOW -  nss: Floating Point Exception in __hash_open
CVE-2017-11698 - LOW -  nss: Heap-buffer-overflow in __get_page
CVE-2017-11696 - LOW -  nss: Heap-buffer-overflow in __hash_open
CVE-2017-11695 - LOW -  nss: Heap-buffer-overflow in alloc_segs
CVE-2016-20013 - LOW -  null
CVE-2017-0537 - LOW -  null
CVE-2021-39801 - LOW -  null
CVE-2017-12852 - LOW -  numpy: Missing input validation on empty list or ndarray in numpy.pad function
CVE-2019-6446 - LOW -  numpy: crafted serialized object passed in numpy.load() in pickle python module allows arbitrary code execution
CVE-2019-6988 - LOW -  openjpeg: DoS via memory exhaustion in opj_decompress
CVE-2019-12973 - LOW -  openjpeg: denial of service in function opj_t1_encode_cblks in openjp2/t1.c
CVE-2020-27841 - LOW -  openjpeg: heap-based buffer overflows in lib/openjp2/pi.c
CVE-2021-3575 - LOW -  openjpeg: heap-buffer-overflow in color.c may lead to DoS or arbitrary code execution
CVE-2018-5727 - LOW -  openjpeg: integer overflow in opj_t1_encode_cblks in src/lib/openjp2/t1.c
CVE-2021-29338 - LOW -  openjpeg: out-of-bounds write due to an integer overflow in opj_compress.c
CVE-2018-6952 - LOW -  patch: Double free of memory in pch.c:another_hunk() causes a crash
CVE-2021-45261 - LOW -  patch: Invalid Pointer via another_hunk function
CVE-2017-11164 - LOW -  pcre: OP_KETRMAX feature in the match function in pcre_exec.c
CVE-2019-10871 - LOW -  poppler: heap-based buffer over-read in function PSOutputDev::checkPageSlice in PSOutputDev.cc
CVE-2019-9543 - LOW -  poppler: recursive function call in JBIG2Stream::readGenericBitmap() in JBIG2Stream.cc causing denial of service
CVE-2019-9545 - LOW -  poppler: recursive function call in JBIG2Stream::readTextRegion() in JBIG2Stream.cc causing denial of service
CVE-2018-1121 - LOW -  procps-ng, procps: process hiding through race condition enumerating /proc
CVE-2021-28861 - LOW -  python: open redirection vulnerability in lib/http/server.py may lead to information disclosure
CVE-2013-4235 - LOW -  shadow-utils: TOCTOU race conditions by copying and removing directory trees
CVE-2022-1210 - LOW -  tiff: Malicious file leads to a denial of service in TIFF File Handler
CVE-2018-20573 - LOW -  yaml-cpp: DoS in Scanner::EnsureTokensInQueue function in yaml-cpp
CVE-2018-20574 - LOW -  yaml-cpp: DoS in SingleDocParser::HandleFlowMap function
CVE-2019-6285 - LOW -  yaml-cpp: DoS in SingleDocParser::HandleFlowSequence funtion
CVE-2019-6292 - LOW -  yaml-cpp: DoS in singledocparser.cpp
CVE-2017-11692 - LOW -  yaml-cpp: assertion failure in Token& Scanner::peek function
CVE-2015-8553 - MEDIUM -  CVE-2015-2150 CVE-2015-8553 xen: non-maskable interrupts triggerable by guests (xsa120)
CVE-2022-29900 - MEDIUM -  CVE-2022-23816 CVE-2022-29900 hw: cpu: AMD: RetBleed Arbitrary Speculative Code Execution with Return Instructions
CVE-2019-9513 - MEDIUM -  HTTP/2: flood using PRIORITY frames results in excessive resource consumption
CVE-2019-9511 - MEDIUM -  HTTP/2: large amount of data requests leads to denial of service
CVE-2022-39842 - MEDIUM -  Kernel: A type conflict of size_t versus int cause an integer overflow in pxa3xx_gcu_write
CVE-2022-38533 - MEDIUM -  binutils: heap-based buffer overflow in bfd_getl32() when called by strip_main() in objcopy.c via a crafted file
CVE-2022-32221 - MEDIUM -  curl: POST following PUT confusion
CVE-2022-40674 - MEDIUM -  expat: a use-after-free in the doContent function in xmlparse.c
CVE-2017-17508 - MEDIUM -  hdf5: Divide-by-zero in the H5T_set_loc function
CVE-2018-17234 - MEDIUM -  hdf5: Memory leak in the H5O__chunk_deserialize() function in H5Ocache.c
CVE-2018-11204 - MEDIUM -  hdf5: NULL pointer dereference in H5O__chunk_deserialize in H5Ocache.c
CVE-2018-17432 - MEDIUM -  hdf5: NULL pointer dereference in H5O_sdspace_encode() in H5Osdspace.c
CVE-2017-17505 - MEDIUM -  hdf5: NULL pointer dereference in the H5O_pline_decode function
CVE-2017-17506 - MEDIUM -  hdf5: Out-of-bounds read in the H5Opline_pline_decode function
CVE-2017-17507 - MEDIUM -  hdf5: Out-of-bounds read in the H5T_conv_struct_opt function
CVE-2017-17509 - MEDIUM -  hdf5: Out-of-bounds write in the H5G__ent_decode_vec function
CVE-2018-17233 - MEDIUM -  hdf5: SIGFPE signal in H5D__create_chunk_file_map_hyper() of H5Dchunk.c
CVE-2018-17434 - MEDIUM -  hdf5: SIGFPE signal in apply_filters() in h5repack_filters.c
CVE-2018-17438 - MEDIUM -  hdf5: SIGFPE signal in function H5D__select_io() of H5Dselect.c
CVE-2018-11203 - MEDIUM -  hdf5: division by zero in H5D__btree_decode_key in H5Dbtree.c
CVE-2018-11207 - MEDIUM -  hdf5: division by zero in H5D__chunk_init in H5Dchunk.c
CVE-2018-17433 - MEDIUM -  hdf5: heap-based buffer overflow in ReadGifImageDesc() in gifread.c
CVE-2018-17437 - MEDIUM -  hdf5: memory leak in H5O_dtype_decode_helper() in H5Odtype.c
CVE-2018-11206 - MEDIUM -  hdf5: out of bounds read in H5O_fill_new_decode and H5O_fill_old_decode in H5Ofill.c
CVE-2019-9151 - MEDIUM -  hdf5: out of bounds read in function H5VM_memcpyvv in H5VM.c
CVE-2022-26373 - MEDIUM -  hw: cpu: Intel: Post-barrier Return Stack Buffer Predictions
CVE-2022-29901 - MEDIUM -  hw: cpu: Intel: RetBleed Arbitrary Speculative Code Execution with Return Instructions
CVE-2020-13844 - MEDIUM -  kernel: ARM straight-line speculation vulnerability
CVE-2021-34556 - MEDIUM -  kernel: BPF program can obtain sensitive information from kernel memory via a speculative store bypass side-channel attack because of the possibility of uninitialized memory locations on the BPF stack
CVE-2021-35477 - MEDIUM -  kernel: BPF program can obtain sensitive information from kernel memory via a speculative store bypass side-channel attack because the technique used by the BPF verifier to manage speculation is unreliable
CVE-2021-4150 - MEDIUM -  kernel: Block subsystem mishandles reference counts
CVE-2022-20166 - MEDIUM -  kernel: Fix possible buffer overflow in sysfs reading.
CVE-2021-4148 - MEDIUM -  kernel: Improper implementation of block_invalidatepage() allows users to crash the kernel
CVE-2020-12362 - MEDIUM -  kernel: Integer overflow in Intel(R) Graphics Drivers
CVE-2022-1263 - MEDIUM -  kernel: KVM: NULL pointer dereference in kvm_dirty_ring_push in virt/kvm/dirty_ring.c
CVE-2022-2153 - MEDIUM -  kernel: KVM: NULL pointer dereference in kvm_irq_delivery_to_apic_fast()
CVE-2021-33624 - MEDIUM -  kernel: Linux kernel BPF protection against speculative execution attacks can be bypassed to read arbitrary kernel memory
CVE-2018-17977 - MEDIUM -  kernel: Mishandled interactions among XFRM Netlink messages, IPPROTO_AH packets, and IPPROTO_IP packets resulting in a denial of service
CVE-2021-44879 - MEDIUM -  kernel: NULL pointer dereference in folio_mark_dirty() via a crafted f2fs image
CVE-2022-20148 - MEDIUM -  kernel: Use after free in f2fs_available_memory
CVE-2020-26145 - MEDIUM -  kernel: accepting plaintext broadcast fragments as full frames
CVE-2020-27835 - MEDIUM -  kernel: child process is able to access parent mm through hfi dev file handle
CVE-2022-1280 - MEDIUM -  kernel: concurrency use-after-free between drm_setmaster_ioctl and drm_mode_getresources
CVE-2021-3864 - MEDIUM -  kernel: descendant's dumpable setting with certain SUID binaries
CVE-2020-36310 - MEDIUM -  kernel: infinite loop in set_memory_region_test in arch/x86/kvm/svm/svm.c for certain nested page faults
CVE-2021-33061 - MEDIUM -  kernel: insufficient control flow management for the Intel(R) 82599 Ethernet Controllers and Adapters may lead to DoS
CVE-2022-0480 - MEDIUM -  kernel: memcg does not limit the number of POSIX file locks allowing memory exhaustion
CVE-2013-7445 - MEDIUM -  kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects
CVE-2020-26141 - MEDIUM -  kernel: not verifying TKIP MIC of fragmented frames
CVE-2022-3028 - MEDIUM -  kernel: race condition in xfrm_probe_algs can lead to out-of-bounds read/write
CVE-2021-20320 - MEDIUM -  kernel: s390 eBPF JIT miscompilation issues fixes
CVE-2020-26541 - MEDIUM -  kernel: security bypass in certs/blacklist.c and certs/system_keyring.c
CVE-2022-2978 - MEDIUM -  kernel: use-after-free in nilfs_mdt_destroy
CVE-2022-20369 - MEDIUM -  kernel: v4l2-mem2mem: Apply DST_QUEUE_OFF_BASE on MMAP buffers across ioctls
CVE-2022-36879 - MEDIUM -  kernel: xfrm_expand_policies() in net/xfrm/xfrm_policy.c can cause a refcount to be dropped twice
CVE-2016-8660 - MEDIUM -  kernel: xfs: local DoS due to a page lock order bug in the XFS seek hole/data implementation
CVE-2021-37750 - MEDIUM -  krb5: NULL pointer dereference in process_tgs_req() in kdc/do_tgs_req.c via a FAST inner body that lacks server field
CVE-2018-20217 - MEDIUM -  krb5: Reachable assertion in the KDC using S4U2Self requests
CVE-2021-36222 - MEDIUM -  krb5: Sending a request containing PA-ENCRYPTED-CHALLENGE padata element without using FAST could result in NULL dereference in KDC which leads to DoS
CVE-2020-36281 - MEDIUM -  leptonica: heap-based buffer overflow in pixFewColorsOctcubeQuantMixed in colorquant1.c
CVE-2020-36280 - MEDIUM -  leptonica: heap-based buffer overflow in pixReadFromTiffStream
CVE-2022-34526 - MEDIUM -  libtiff: A stack overflow was discovered in the _TIFFVGetField function of Tiffsplit
CVE-2022-3570 - MEDIUM -  libtiff: heap Buffer overflows in tiffcrop.c
CVE-2022-3599 - MEDIUM -  libtiff: out-of-bounds read in writeSingleSection in tools/tiffcrop.c
CVE-2022-3598 - MEDIUM -  libtiff: out-of-bounds write in extractContigSamplesShifted24bits in tools/tiffcrop.c
CVE-2021-39800 - MEDIUM -  null
CVE-2017-18009 - MEDIUM -  opencv: heap-based buffer over-read in function cv::HdrDecoder::checkSignature in modules/imgcodecs/src/grfmt_hdr.cpp
CVE-2019-14492 - MEDIUM -  opencv: out-of-bounds read in function HaarEvaluator::OptFeature::calc() in cascadedetect.hpp leading to DoS
CVE-2018-21010 - MEDIUM -  openjpeg: heap buffer overflow in color_apply_icc_profile in bin/common/color.c
CVE-2020-27845 - MEDIUM -  openjpeg: heap-based buffer overflow in functions opj_pi_next_rlcp, opj_pi_next_rpcl and opj_pi_next_lrcp in openjp2/pi.c
CVE-2020-8112 - MEDIUM -  openjpeg: heap-based buffer overflow in pj_t1_clbl_decode_processor in openjp2/t1.c
CVE-2020-27814 - MEDIUM -  openjpeg: heap-buffer-overflow in lib/openjp2/mqc.c could result in DoS
CVE-2022-44638 - MEDIUM -  pixman: Integer overflow in pixman_sample_floor_y leading to heap out-of-bounds write
CVE-2022-35737 - MEDIUM -  sqlite: an array-bounds overflow if billions of bytes are used in a string argument to a C API
CVE-2017-12627 - MEDIUM -  xerces-c: Null pointer dereference while processing the path to DTD allows denial of service
CVE-2018-1311 - MEDIUM -  xerces-c: XML parser contains a use-after-free error triggered during the scanning of external DTDs
