CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2021-2180 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2021)
CVE-2021-2194 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2021)
CVE-2022-21417 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2022)
CVE-2022-21451 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2022)
CVE-2021-2372 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Jul 2021)
CVE-2021-2389 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Jul 2021)
CVE-2021-2162 - MEDIUM -  mysql: Server: Audit Plug-in unspecified vulnerability (CPU Apr 2021)
CVE-2022-21367 - MEDIUM -  mysql: Server: Compiling unspecified vulnerability (CPU Jan 2022)
CVE-2022-21444 - MEDIUM -  mysql: Server: DDL unspecified vulnerability (CPU Apr 2022)
CVE-2021-2154 - MEDIUM -  mysql: Server: DML unspecified vulnerability (CPU Apr 2021)
CVE-2021-2166 - MEDIUM -  mysql: Server: DML unspecified vulnerability (CPU Apr 2021)
CVE-2022-21427 - MEDIUM -  mysql: Server: FTS unspecified vulnerability (CPU Apr 2022)
CVE-2022-21270 - MEDIUM -  mysql: Server: Federated unspecified vulnerability (CPU Jan 2022)
CVE-2021-2179 - MEDIUM -  mysql: Server: Group Replication Plugin unspecified vulnerability (CPU Apr 2021)
CVE-2022-21454 - MEDIUM -  mysql: Server: Group Replication Plugin unspecified vulnerability (CPU Apr 2022)
CVE-2022-21460 - MEDIUM -  mysql: Server: Logging unspecified vulnerability (CPU Apr 2022)
CVE-2021-2169 - MEDIUM -  mysql: Server: Optimizer unspecified vulnerability (CPU Apr 2021)
CVE-2021-2342 - MEDIUM -  mysql: Server: Optimizer unspecified vulnerability (CPU Jul 2021)
CVE-2021-2146 - MEDIUM -  mysql: Server: Options unspecified vulnerability (CPU Apr 2021)
CVE-2021-2307 - MEDIUM -  mysql: Server: Packaging unspecified vulnerability (CPU Apr 2021)
CVE-2022-21304 - MEDIUM -  mysql: Server: Parser unspecified vulnerability (CPU Jan 2022)
CVE-2021-2171 - MEDIUM -  mysql: Server: Replication unspecified vulnerability (CPU Apr 2021)
CVE-2021-2178 - MEDIUM -  mysql: Server: Replication unspecified vulnerability (CPU Apr 2021)
CVE-2021-2202 - MEDIUM -  mysql: Server: Replication unspecified vulnerability (CPU Apr 2021)
CVE-2022-21344 - MEDIUM -  mysql: Server: Replication unspecified vulnerability (CPU Jan 2022)
CVE-2021-2385 - MEDIUM -  mysql: Server: Replication unspecified vulnerability (CPU Jul 2021)
CVE-2022-21245 - MEDIUM -  mysql: Server: Security: Privileges unspecified vulnerability (CPU Jan 2022)
CVE-2022-21303 - MEDIUM -  mysql: Server: Stored Procedure unspecified vulnerability (CPU Jan 2022)
CVE-2022-1292 - MEDIUM -  openssl: c_rehash script allows command injection
CVE-2022-1552 - MEDIUM -  postgresql: Autovacuum, REINDEX, and others omit "security restricted operation" sandbox
CVE-2021-32027 - MEDIUM -  postgresql: Buffer overrun from integer overflow in array subscripting calculations
CVE-2021-23222 - MEDIUM -  postgresql: libpq processes unencrypted bytes from man-in-the-middle
CVE-2021-23214 - MEDIUM -  postgresql: server processes unencrypted bytes from man-in-the-middle
CVE-2021-4189 - MEDIUM -  python: ftplib should not use the host from the PASV response
