CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2021-41617 - LOW -  openssh: privilege escalation when AuthorizedKeysCommand or AuthorizedPrincipalsCommand are configured
CVE-2018-6952 - LOW -  patch: Double free of memory in pch.c:another_hunk() causes a crash
CVE-2021-45261 - LOW -  patch: Invalid Pointer via another_hunk function
CVE-2022-1586 - LOW -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - LOW -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2019-20838 - LOW -  pcre: Buffer over-read in JIT when UTF is disabled and \X or \R has fixed quantifier greater than 1
CVE-2017-11164 - LOW -  pcre: OP_KETRMAX feature in the match function in pcre_exec.c
CVE-2019-9543 - LOW -  poppler: recursive function call in JBIG2Stream::readGenericBitmap() in JBIG2Stream.cc causing denial of service
CVE-2019-9545 - LOW -  poppler: recursive function call in JBIG2Stream::readTextRegion() in JBIG2Stream.cc causing denial of service
CVE-2018-1121 - LOW -  procps-ng, procps: process hiding through race condition enumerating /proc
CVE-2015-20107 - LOW -  python(mailcap): findmatch() function does not sanitise the second argument
CVE-2013-4235 - LOW -  shadow-utils: TOCTOU race conditions by copying and removing directory trees
CVE-2019-9923 - LOW -  tar: null-pointer dereference in pax_decode_header in sparse.c
CVE-2015-8553 - MEDIUM -  CVE-2015-2150 CVE-2015-8553 xen: non-maskable interrupts triggerable by guests (xsa120)
CVE-2022-27404 - MEDIUM -  FreeType: Buffer Overflow
CVE-2022-26691 - MEDIUM -  cups: authorization bypass when using "local" authorization
CVE-2022-1304 - MEDIUM -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2021-44648 - MEDIUM -  gdk-pixbuf: heap-buffer overflow when decoding the lzw compressed stream of image data
CVE-2018-17234 - MEDIUM -  hdf5: Memory leak in the H5O__chunk_deserialize() function in H5Ocache.c
CVE-2018-17432 - MEDIUM -  hdf5: NULL pointer dereference in H5O_sdspace_encode() in H5Osdspace.c
CVE-2019-8397 - MEDIUM -  hdf5: Out-of-Bounds Read in function H5T_close_real in H5T.c
CVE-2017-17507 - MEDIUM -  hdf5: Out-of-bounds read in the H5T_conv_struct_opt function
CVE-2018-17233 - MEDIUM -  hdf5: SIGFPE signal in H5D__create_chunk_file_map_hyper() of H5Dchunk.c
CVE-2018-17434 - MEDIUM -  hdf5: SIGFPE signal in apply_filters() in h5repack_filters.c
CVE-2018-17438 - MEDIUM -  hdf5: SIGFPE signal in function H5D__select_io() of H5Dselect.c
CVE-2018-17433 - MEDIUM -  hdf5: heap-based buffer overflow in ReadGifImageDesc() in gifread.c
CVE-2018-17437 - MEDIUM -  hdf5: memory leak in H5O_dtype_decode_helper() in H5Odtype.c
CVE-2019-9152 - MEDIUM -  hdf5: out of bounds read in function H5MM_xstrdup in H5MM.c
CVE-2019-9151 - MEDIUM -  hdf5: out of bounds read in function H5VM_memcpyvv in H5VM.c
CVE-2022-1195 - MEDIUM -  kernel: A possible race condition (use-after-free) in drivers/net/hamradio/6pack ( mkiss.c) after unregister_netdev
CVE-2020-13844 - MEDIUM -  kernel: ARM straight-line speculation vulnerability
CVE-2021-4148 - MEDIUM -  kernel: Improper implementation of block_invalidatepage() allows users to crash the kernel
CVE-2021-4095 - MEDIUM -  kernel: KVM: NULL pointer dereference in kvm_dirty_ring_get() in virt/kvm/dirty_ring.c
CVE-2022-0500 - MEDIUM -  kernel: Linux ebpf logic vulnerability leads to critical memory read and write gaining root privileges
CVE-2018-17977 - MEDIUM -  kernel: Mishandled interactions among XFRM Netlink messages, IPPROTO_AH packets, and IPPROTO_IP packets resulting in a denial of service
CVE-2022-1199 - MEDIUM -  kernel: Null pointer dereference and use after free in ax25_release()
CVE-2022-1205 - MEDIUM -  kernel: Null pointer dereference and use after free in net/ax25/ax25_timer.c
CVE-2022-0400 - MEDIUM -  kernel: Out of bounds read in the smc protocol stack
CVE-2022-28893 - MEDIUM -  kernel: Use after free in SUNRPC subsystem
CVE-2022-1204 - MEDIUM -  kernel: Use after free in net/ax25/af_ax25.c
CVE-2022-0998 - MEDIUM -  kernel: an integer overflow in the vhost_vdpa_config_validate() can lead to out-of-bounds access on top of a 32-bit Linux kernel
CVE-2021-3864 - MEDIUM -  kernel: descendant's dumpable setting with certain SUID binaries
CVE-2021-33061 - MEDIUM -  kernel: insufficient control flow management for the Intel(R) 82599 Ethernet Controllers and Adapters may lead to DoS
CVE-2022-0995 - MEDIUM -  kernel: kernel bug in the watch_queue subsystem
CVE-2022-0480 - MEDIUM -  kernel: memcg does not limit the number of POSIX file locks allowing memory exhaustion
CVE-2013-7445 - MEDIUM -  kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects
CVE-2022-1048 - MEDIUM -  kernel: race condition in snd_pcm_hw_free leading to use-after-free
CVE-2022-1198 - MEDIUM -  kernel: use-after-free in drivers/net/hamradio/6pack.c
CVE-2016-8660 - MEDIUM -  kernel: xfs: local DoS due to a page lock order bug in the XFS seek hole/data implementation
CVE-2020-36278 - MEDIUM -  leptonica: heap-based buffer overflow in findNextBorderPixel in ccbord.c
CVE-2020-36281 - MEDIUM -  leptonica: heap-based buffer overflow in pixFewColorsOctcubeQuantMixed in colorquant1.c
CVE-2020-36280 - MEDIUM -  leptonica: heap-based buffer overflow in pixReadFromTiffStream
CVE-2020-36279 - MEDIUM -  leptonica: heap-based buffer overflow in rasteropGeneralLow
CVE-2022-1354 - MEDIUM -  libtiff: heap-buffer-overflow in TIFFReadRawDataStriped() in tiffinfo.c
CVE-2020-9794 - MEDIUM -  null
CVE-2021-39800 - MEDIUM -  null
CVE-2021-39801 - MEDIUM -  null
CVE-2021-39802 - MEDIUM -  null
CVE-2021-46322 - MEDIUM -  null
CVE-2019-9423 - MEDIUM -  opencv: Out of bounds write due to missing bounds check
CVE-2019-16249 - MEDIUM -  opencv: Out-of-bounds read in hal_baseline::v_load in core/hal/intrin_sse.hpp
CVE-2022-29155 - MEDIUM -  openldap: OpenLDAP SQL injection
CVE-2020-16156 - MEDIUM -  perl-CPAN: Bypass of verification of signatures in CHECKSUMS files
CVE-2022-25255 - MEDIUM -  qt: QProcess could execute a binary from the current working directory when not found in the PATH
CVE-2018-1311 - MEDIUM -  xerces-c: XML parser contains a use-after-free error triggered during the scanning of external DTDs
CVE-2012-0880 - MEDIUM -  xml: xerces-c hash table collisions CPU usage DoS (oCERT-2011-003)
