CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2020-35448 - LOW -  binutils: Heap-based buffer overflow in bfd_getl_signed_32() in libbfd.c because sh_entsize is not validated in _bfd_elf_slurp_secondary_reloc_section() in elf.c
CVE-2017-15020 - LOW -  binutils: Heap-based buffer overflow in parse_die
CVE-2017-9038 - LOW -  binutils: Heap-buffer overflow in the byte_get_little_endian
CVE-2017-14934 - LOW -  binutils: Infinite loop in process_debug_info
CVE-2017-14933 - LOW -  binutils: Infinite loop in read_formatted_entries
CVE-2017-14932 - LOW -  binutils: Infinite loop in the decode_line_info
CVE-2017-15024 - LOW -  binutils: Infinite recursion in find_abstract_instance_name
CVE-2017-16831 - LOW -  binutils: Integer overflow in coffgen.c
CVE-2018-18483 - LOW -  binutils: Integer overflow in cplus-dem.c:get_count() allows for denial of service
CVE-2018-6323 - LOW -  binutils: Integer overflow in elf_object_p function in elfcode.h
CVE-2017-14745 - LOW -  binutils: Integer overflow in the *_get_synthetic_symtab functions
CVE-2017-16828 - LOW -  binutils: Integer overflow in the display_debug_frames function
CVE-2017-16827 - LOW -  binutils: Invalid free in the aout_get_external_symbols function
CVE-2017-16826 - LOW -  binutils: Invalid memory access in the coff_slurp_line_table function
CVE-2017-17126 - LOW -  binutils: Invalid memory access in the load_debug_section function
CVE-2017-15938 - LOW -  binutils: Invalid memory read in find_abstract_instance_name
CVE-2017-9042 - LOW -  binutils: Invalid variable type in readelf.c
CVE-2017-17121 - LOW -  binutils: Memory access violation via a crafted COFF binary
CVE-2017-9039 - LOW -  binutils: Memory consumption via many program headers
CVE-2017-8421 - LOW -  binutils: Memory exhaustion in objdump via a crafted PE file
CVE-2017-15225 - LOW -  binutils: Memory leak in _bfd_dwarf2_cleanup_debug_info
CVE-2017-14930 - LOW -  binutils: Memory leak in decode_line_info
CVE-2017-13716 - LOW -  binutils: Memory leak with the C++ symbol demangler routine in libiberty
CVE-2018-18606 - LOW -  binutils: NULL pointer dereference in _bfd_add_merge_section in merge_strings function in merge.c
CVE-2017-7614 - LOW -  binutils: NULL pointer dereference in bfd_elf_final_link function
CVE-2017-15022 - LOW -  binutils: NULL pointer dereference in dwarf2.c
CVE-2018-18607 - LOW -  binutils: NULL pointer dereference in elf_link_input_bfd in elflink.c
CVE-2018-17794 - LOW -  binutils: NULL pointer dereference in libiberty/cplus-dem.c:work_stuff_copy_to_from() via crafted input
CVE-2017-15023 - LOW -  binutils: NULL pointer dereference in read_formatted_entries
CVE-2017-17123 - LOW -  binutils: NULL pointer dereference in the coff_slurp_reloc_table function
CVE-2017-15939 - LOW -  binutils: NULL pointer dereference in the concat_filename
CVE-2017-9040 - LOW -  binutils: NULL pointer dereference in the process_mips_specific_function
CVE-2017-14940 - LOW -  binutils: NULL pointer dereference in the scan_unit_for_symbols
CVE-2020-16599 - LOW -  binutils: Null Pointer Dereference in _bfd_elf_get_symbol_version_string could result in DoS
CVE-2020-16593 - LOW -  binutils: Null Pointer Dereference in scan_unit_for_symbols could result in DoS
CVE-2017-16829 - LOW -  binutils: Out-of-bounds read in the _bfd_elf_parse_gnu_properties function
CVE-2017-9044 - LOW -  binutils: Out-of-bounds read in the print_symbol_for_build_attribute function
CVE-2018-18700 - LOW -  binutils: Recursive Stack Overflow within function d_name, d_encoding, and d_local_name in cp-demangle.c
CVE-2017-16832 - LOW -  binutils: Segmentation fault in the pe_bfd_read_buildid function
CVE-2017-16830 - LOW -  binutils: Segmentation fault in the print_gnu_property_note function
CVE-2017-9043 - LOW -  binutils: Shift exponent too large for type unsigned long in readelf.c
CVE-2018-17985 - LOW -  binutils: Stack consumption problem caused by the cplus_demangle_type
CVE-2018-18484 - LOW -  binutils: Stack exhaustion in cp-demangle.c allows for denial of service
CVE-2017-9747 - LOW -  binutils: Stack-based buffer over-read in ieee_archive_p function while disassembling corrupt IEEE binary
CVE-2017-9748 - LOW -  binutils: Stack-based buffer over-read in ieee_object_p function
CVE-2018-6759 - LOW -  binutils: Unchecked strnlen in opncls.c:bfd_get_debug_link_info_1() can allow lead to denial of service
CVE-2018-12934 - LOW -  binutils: Uncontrolled Resource Consumption in remember_Ktype in cplus-dem.c
CVE-2014-9939 - LOW -  binutils: buffer overflow in ihex.c
CVE-2019-17450 - LOW -  binutils: denial of service via crafted ELF file
CVE-2018-12698 - LOW -  binutils: excessive memory consumption in demangle_template in cplus-dem.c
CVE-2017-9955 - LOW -  binutils: heap buffer over-read in get_build_id function
CVE-2017-14529 - LOW -  binutils: heap-based buffer over-read in bfd_getl16 function in peXXigen.c
CVE-2018-17360 - LOW -  binutils: heap-based buffer over-read in bfd_getl32 in libbfd.c
CVE-2017-13757 - LOW -  binutils: heap-based buffer over-read in elf_i386_get_synthetic_symtab in elf32-i386.c and elf_x86_64_get_synthetic_symtab in elf64-x86-64.c
CVE-2018-18605 - LOW -  binutils: heap-based buffer over-read in sec_merge_hash_lookup in merge.c
CVE-2018-12699 - LOW -  binutils: heap-based buffer overflow in finish_stab in stabs.c
CVE-2018-18701 - LOW -  binutils: infinite recursion in next_is_type_qual and cplus_demangle_type functions in cp-demangle.c
CVE-2019-14250 - LOW -  binutils: integer overflow in simple-object-elf.c leads to a heap-based buffer overflow
CVE-2019-17451 - LOW -  binutils: integer overflow leading to a SEGV in _bfd_dwarf2_find_nearest_line in dwarf2.c
CVE-2020-16591 - LOW -  binutils: invalid read in process_symbol_table could result in DoS
CVE-2018-20002 - LOW -  binutils: memory leak in _bfd_generic_read_minisymbols function in syms.c
CVE-2018-6872 - LOW -  binutils: out of bounds read in elf_parse_notes function in elf.c file in libbfd library
CVE-2019-12972 - LOW -  binutils: out-of-bounds read in setup_group in bfd/elf.c
CVE-2016-3189 - LOW -  bzip2: heap use after free in bzip2recover
CVE-2019-12900 - LOW -  bzip2: out-of-bounds write in function BZ2_decompress
CVE-2015-5218 - LOW -  colcrt: global-buffer-overflow
CVE-2014-9471 - LOW -  coreutils: memory corruption flaw in parse_datetime()
CVE-2017-7407 - LOW -  curl: --write-out out of bounds read
CVE-2016-8616 - LOW -  curl: Case insensitive password comparison
CVE-2020-8231 - LOW -  curl: Expired pointer dereference via multi API with CURLOPT_CONNECT_ONLY option set
CVE-2021-22925 - LOW -  curl: Incorrect fix for CVE-2021-22898 TELNET stack contents disclosure
CVE-2016-0755 - LOW -  curl: NTLM credentials not-checked for proxy connection re-use
CVE-2021-22898 - LOW -  curl: TELNET stack contents disclosure
CVE-2017-1000100 - LOW -  curl: TFTP sends more than buffer size
CVE-2016-8622 - LOW -  curl: URL unescape heap overflow via integer truncation
CVE-2016-8623 - LOW -  curl: Use-after-free via shared cookies
CVE-2016-8621 - LOW -  curl: curl_getdate out-of-bounds read
CVE-2016-9586 - LOW -  curl: printf floating point buffer overflow
CVE-2014-3637 - LOW -  dbus: denial of service by creating unkillable D-Bus connections
CVE-2015-0245 - LOW -  dbus: denial of service in dbus systemd activation
CVE-2015-1572 - LOW -  e2fsprogs: potential buffer overflow in closefs() (incomplete CVE-2015-0247 fix)
CVE-2017-7610 - LOW -  elfutils: Heap-buffer overflow in the check_group function
CVE-2017-7611 - LOW -  elfutils: Heap-buffer overflow in the check_symtab_shndx function
CVE-2017-7612 - LOW -  elfutils: Heap-buffer overflow in the check_sysv_hash function
CVE-2017-7608 - LOW -  elfutils: Heap-buffer overflow in the ebl_object_note_type_name function
CVE-2017-7607 - LOW -  elfutils: Heap-buffer overflow in the handle_gnu_hash function
CVE-2016-10255 - LOW -  elfutils: Memory allocation failure in __libelf_set_rawdata_wrlock (elf_getdata.c)
CVE-2016-10254 - LOW -  elfutils: Memory allocation failure in allocate_elf
CVE-2017-7609 - LOW -  elfutils: Memory allocation failure in elf_compress.c
CVE-2017-7613 - LOW -  elfutils: elflint.c does not validate the number of sections and segments
CVE-2022-23990 - LOW -  expat: integer overflow in the doProlog function
CVE-2016-9063 - LOW -  firefox: Possible integer overflow to fix inside XML_Parse in Expat
CVE-2018-6942 - LOW -  freetype: NULL pointer dereference in the Ins_GETVARIATION() function
CVE-2016-2226 - LOW -  gcc: Exploitable buffer overflow
CVE-2016-4487 - LOW -  gcc: Invalid write due to a use-after-free to array btypevec
CVE-2016-4488 - LOW -  gcc: Invalid write due to a use-after-free to array ktypevec
CVE-2016-4489 - LOW -  gcc: Invalid write due to integer overflow
CVE-2016-4492 - LOW -  gcc: Read access violations
CVE-2016-4493 - LOW -  gcc: Read access violations
CVE-2016-4491 - LOW -  gcc: Stack overflow due to infinite recursion in d_print_comp
CVE-2016-4490 - LOW -  gcc: Write access violation
CVE-2021-46195 - LOW -  gcc: uncontrolled recursion in libiberty/rust-demangle.c
CVE-2018-16428 - LOW -  glib2: NULL pointer dereference in g_markup_parse_context_end_parse() function in gmarkup.c
CVE-2018-16429 - LOW -  glib2: Out-of-bounds read in g_markup_parse_context_parse() in gmarkup.c
CVE-2019-13012 - LOW -  glib2: insecure permissions for files and directories
CVE-2021-28153 - LOW -  glib: g_file_replace() with G_FILE_CREATE_REPLACE_DESTINATION creates empty target for dangling symlink
CVE-2017-15671 - LOW -  glibc: Memory leak in glob with GLOB_TILDE
CVE-2016-10228 - LOW -  glibc: iconv program can hang when invoked with the -c option
CVE-2020-27618 - LOW -  glibc: iconv when processing invalid multi-byte input sequences fails to advance the input state, which could result in an infinite loop
CVE-2021-33574 - LOW -  glibc: mq_notify does not handle separately allocated thread attributes
CVE-2014-4043 - LOW -  glibc: posix_spawn_file_actions_addopen fails to copy the path argument
CVE-2015-8985 - LOW -  glibc: potential denial of service in pop_fail_stack()
CVE-2021-43618 - LOW -  gmp: Integer overflow and resultant buffer overflow via crafted input
CVE-2015-1606 - LOW -  gnupg2: invalid memory read using a garbled keyring
CVE-2015-1607 - LOW -  gnupg2: memcpy with overlapping ranges (keybox_search.c)
CVE-2015-0837 - LOW -  libgcrypt: last-level cache side-channel attack
CVE-2014-3591 - LOW -  libgcrypt: use ciphertext blinding for Elgamal decryption (new side-channel attack)
CVE-2018-20657 - LOW -  libiberty: Memory leak in demangle_template function resulting in a denial of service
CVE-2017-14062 - LOW -  libidn2: Integer overflow in puny_decode.c/decode_digit
CVE-2016-6263 - LOW -  libidn: Crash when given invalid UTF-8 data on input
CVE-2016-6261 - LOW -  libidn: Out of bounds stack read in idna_to_ascii_4i
CVE-2015-2059 - LOW -  libidn: out-of-bounds read with stringprep on invalid UTF-8
CVE-2015-8540 - LOW -  libpng: underflow read in png_check_keyword()
CVE-2018-1000654 - LOW -  libtasn1: Infinite loop in _asn1_expand_object_id(ptree) leads to memory exhaustion
CVE-2017-10790 - LOW -  libtasn1: NULL pointer dereference in the _asn1_check_identifier function
CVE-2017-8872 - LOW -  libxml2: Out-of-bounds read in htmlParseTryOrFinish
CVE-2017-11112 - LOW -  ncurses: Illegal address access in append_acs function
CVE-2017-13729 - LOW -  ncurses: Illegal address access in the _nc_save_str function
CVE-2017-13730 - LOW -  ncurses: Illegal address access in the function _nc_read_entry_source()
CVE-2017-13734 - LOW -  ncurses: Illegal address access in the function _nc_safe_strcat
CVE-2017-13732 - LOW -  ncurses: Illegal address access in the function dump_uses()
CVE-2017-13733 - LOW -  ncurses: Illegal address access in the function fmt_entry
CVE-2017-13731 - LOW -  ncurses: Illegal address access in the function postprocess_termcap()
CVE-2017-13728 - LOW -  ncurses: Infinite loop in the next_char function
CVE-2018-19217 - LOW -  ncurses: Null pointer dereference at function _nc_name_match
CVE-2018-19211 - LOW -  ncurses: Null pointer dereference at function _nc_parse_entry in parse_entry.c
CVE-2017-11113 - LOW -  ncurses: Null pointer dereference vulnerability in _nc_parse_entry function
CVE-2017-16879 - LOW -  ncurses: Stack-based buffer overflow in the _nc_write_entry function
CVE-2020-15168 - LOW -  node-fetch: size of data after fetch() JS thread leads to DoS
CVE-2020-15719 - LOW -  openldap: Certificate validation incorrectly matches name against CN-ID
CVE-2020-1968 - LOW -  openssl: Information exposure when DH secret are reused across multiple TLS connections
CVE-2019-1551 - LOW -  openssl: Integer overflow in RSAZ modular exponentiation on x86_64
CVE-2019-1563 - LOW -  openssl: information disclosure in PKCS7_dataDecode and CMS_decrypt_set1_pkey
CVE-2020-14155 - LOW -  pcre: Integer overflow when parsing callout numeric arguments
CVE-2017-11164 - LOW -  pcre: OP_KETRMAX feature in the match function in pcre_exec.c
CVE-2017-7244 - LOW -  pcre: invalid memory read in _pcre32_xclass (pcre_xclass.c)
CVE-2017-7245 - LOW -  pcre: stack-based buffer overflow write in pcre32_copy_substring
CVE-2017-7246 - LOW -  pcre: stack-based buffer overflow write in pcre32_copy_substring
CVE-2018-1123 - LOW -  procps-ng, procps: denial of service in ps via mmap buffer overflow
CVE-2018-1121 - LOW -  procps-ng, procps: process hiding through race condition enumerating /proc
CVE-2018-1125 - LOW -  procps-ng, procps: stack buffer overflow in pgrep
CVE-2018-1000030 - LOW -  python: Heap-Buffer-Overflow and Heap-Use-After-Free in Objects/fileobject.c
CVE-2021-3737 - LOW -  python: urllib: HTTP client possible infinite loop on a 100 Continue response
CVE-2021-20266 - LOW -  rpm: missing length checks in hdrblobInit()
CVE-2017-10989 - LOW -  sqlite: Heap-buffer overflow in the getNodeSize function
CVE-2017-15286 - LOW -  sqlite: NULL pointer dereference in tableColumnList
CVE-2016-6153 - LOW -  sqlite: Tempdir selection vulnerability
CVE-2019-19244 - LOW -  sqlite: allows a crash if a sub-select uses both DISTINCT and window functions and also has certain ORDER BY usage
CVE-2018-20482 - LOW -  tar: Infinite read loop in sparse_dump_region function in sparse.c
CVE-2021-20193 - LOW -  tar: Memory leak in read_header() in list.c
CVE-2019-9923 - LOW -  tar: null-pointer dereference in pax_decode_header in sparse.c
CVE-2017-1000382 - LOW -  vim: Ignores umask when creating a swap file
CVE-2021-3974 - LOW -  vim: Use after free in regexp_nfa.c
CVE-2022-0351 - LOW -  vim: access of memory location before start of buffer
CVE-2021-3927 - LOW -  vim: heap-based buffer overflow in gchar_cursor() in misc1.c
CVE-2021-3903 - LOW -  vim: heap-based buffer overflow vulnerability
CVE-2021-4166 - LOW -  vim: out-of-bounds read in do_arg_all() in src/arglist.c
CVE-2022-1154 - LOW -  vim: use after free in utf_ptr2char
CVE-2021-4069 - LOW -  vim: use-after-free in ex_open() in src/ex_docmd.c
CVE-2021-42694 - MEDIUM -  Developer environment: Homoglyph characters can lead to trojan source attack
CVE-2021-42574 - MEDIUM -  Developer environment: Unicode's bidirectional (BiDi) override characters can cause trojan source attacks
CVE-2019-13050 - MEDIUM -  GnuPG: interaction between the sks-keyserver code and GnuPG allows for a Certificate Spamming Attack which leads to persistent DoS
CVE-2020-17049 - MEDIUM -  Kerberos: delegation constrain bypass in S4U2Proxy
CVE-2019-12904 - MEDIUM -  Libgcrypt: physical addresses being available to other processes leads to a flush-and-reload side-channel attack
CVE-2017-7781 - MEDIUM -  Mozilla: Elliptic curve point addition error when using mixed Jacobian-affine coordinates (MFSA 2017-18)
CVE-2015-2613 - MEDIUM -  NSS / JCE: missing EC parameter validation in ECDH_Derive() (OpenJDK JCE, 8075833)
CVE-2013-1665 - MEDIUM -  Python xml bindings: External entity expansion in Python XML libraries inflicts potential security flaws and DoS vulnerabilities
CVE-2013-1664 - MEDIUM -  Python xml bindings: Internal entity expansion in Python XML libraries inflicts DoS vulnerabilities
CVE-2015-2808 - MEDIUM -  SSL/TLS: "Invariance Weakness" vulnerability in RC4 stream cipher
CVE-2016-2183 - MEDIUM -  SSL/TLS: Birthday attack against 64-bit block ciphers (SWEET32)
CVE-2012-6711 - MEDIUM -  bash: heap-based buffer overflow during echo of unsupported characters
CVE-2021-3487 - MEDIUM -  binutils: Excessive debug section size can cause excessive memory consumption in bfd's dwarf2.c read_section()
CVE-2021-20197 - MEDIUM -  binutils: Race window allows users to own arbitrary files
CVE-2017-6966 - MEDIUM -  binutils: Use-after-free in target_specific_reloc_handling in readelf
CVE-2020-16590 - MEDIUM -  binutils: double free vulnerability in process_symbol_table could result in DoS
CVE-2021-45078 - MEDIUM -  binutils: out-of-bounds write in stab_xcoff_builtin_type() in stabs.c
CVE-2021-20294 - MEDIUM -  binutils: stack buffer overflow WRITE may lead to a DoS via a crafted ELF
CVE-2020-16592 - MEDIUM -  binutils: use-after-free in bfd_hash_lookup could result in DoS
CVE-2021-37322 - MEDIUM -  binutils: use-after-free in c++filt in cplus-dem.c
CVE-2016-2781 - MEDIUM -  coreutils: Non-privileged session can escape to the parent session in chroot
CVE-2017-18018 - MEDIUM -  coreutils: race condition vulnerability in chown and chgrp
CVE-2021-38185 - MEDIUM -  cpio: integer overflow in ds_fgetstr() in dstring.c can lead to an out-of-bounds write via a crafted pattern file
CVE-2021-22924 - MEDIUM -  curl: Bad connection reuse due to flawed path name checks
CVE-2016-8615 - MEDIUM -  curl: Cookie injection for other servers
CVE-2016-8618 - MEDIUM -  curl: Double-free in curl_maprintf
CVE-2016-8619 - MEDIUM -  curl: Double-free in krb5 code
CVE-2020-8284 - MEDIUM -  curl: FTP PASV command response can cause curl to connect to arbitrary host
CVE-2017-1000254 - MEDIUM -  curl: FTP PWD response parser out of bounds read
CVE-2017-8817 - MEDIUM -  curl: FTP wildcard out of bounds read
CVE-2016-8624 - MEDIUM -  curl: Invalid URL parsing with '#'
CVE-2021-22876 - MEDIUM -  curl: Leak of authentication credentials in URL via automatic Referer
CVE-2020-8285 - MEDIUM -  curl: Malicious FTP server can trigger stack overflow when CURLOPT_CHUNK_BGN_FUNCTION is used
CVE-2016-8617 - MEDIUM -  curl: Out-of-bounds write via unchecked multiplication
CVE-2021-22946 - MEDIUM -  curl: Requirement to use TLS not properly enforced for IMAP, POP3, and FTP protocols
CVE-2021-22947 - MEDIUM -  curl: Server responses received before STARTTLS processed after TLS handshake
CVE-2015-3153 - MEDIUM -  curl: sensitive HTTP server headers also sent to proxies
CVE-2019-19906 - MEDIUM -  cyrus-sasl: denial of service in _sasl_add_string function
CVE-2014-3635 - MEDIUM -  dbus: heap-based buffer overflow flaw in file descriptor passing
CVE-2016-4484 - MEDIUM -  dracut: Brute force attack on LUKS password decryption via initramfs
CVE-2015-0247 - MEDIUM -  e2fsprogs: ext2fs_open2() missing first_meta_bg boundary check leading to heap buffer overflow (oCERT-015-002)
CVE-2022-22822 - MEDIUM -  expat: Integer overflow in addBinding in xmlparse.c
CVE-2022-22823 - MEDIUM -  expat: Integer overflow in build_model in xmlparse.c
CVE-2022-22824 - MEDIUM -  expat: Integer overflow in defineAttribute in xmlparse.c
CVE-2021-46143 - MEDIUM -  expat: Integer overflow in doProlog in xmlparse.c
CVE-2022-23852 - MEDIUM -  expat: Integer overflow in function XML_GetBuffer
CVE-2022-22825 - MEDIUM -  expat: Integer overflow in lookup in xmlparse.c
CVE-2022-22826 - MEDIUM -  expat: Integer overflow in nextScaffoldPart in xmlparse.c
CVE-2022-22827 - MEDIUM -  expat: Integer overflow in storeAtts in xmlparse.c
CVE-2021-45960 - MEDIUM -  expat: Large number of prefixed XML attributes on a single tag can crash libexpat
CVE-2016-5300 - MEDIUM -  expat: Little entropy used for hash initialization
CVE-2013-0340 - MEDIUM -  expat: internal entity expansion
CVE-2022-25313 - MEDIUM -  expat: stack exhaustion in doctype parsing
CVE-2017-8287 - MEDIUM -  freetype: heap-based buffer overflow related to the t1_builder_close_contour function
CVE-2017-8105 - MEDIUM -  freetype: heap-based buffer overflow related to the t1_decoder_parse_charstrings
CVE-2016-10244 - MEDIUM -  freetype: parse_charstrings function in type1/t1load.c does not ensure that a font contains a glyph name
CVE-2021-35942 - MEDIUM -  glibc: Arbitrary read in wordexp()
CVE-2016-1234 - MEDIUM -  glibc: Stack-based buffer overflow in glob with GLOB_ALTDIRFUNC and crafted directory
CVE-2022-23219 - MEDIUM -  glibc: Stack-based buffer overflow in sunrpc clnt_create via a long pathname
CVE-2022-23218 - MEDIUM -  glibc: Stack-based buffer overflow in svcunix_create via long pathnames
CVE-2016-4429 - MEDIUM -  glibc: libtirpc: stack (frame) overflow in Sun RPC clntudp_call()
CVE-2017-8804 - MEDIUM -  glibc: memory leak in sunrpc when decoding malformed XDR
CVE-2009-5155 - MEDIUM -  glibc: parse_reg_exp in posix/regcomp.c misparses alternatives leading to denial of service or trigger incorrect result
CVE-2019-9169 - MEDIUM -  glibc: regular-expression match via proceed_next_node in posix/regexec.c leads to heap-based buffer over-read
CVE-2020-1752 - MEDIUM -  glibc: use-after-free in glob() function when expanding ~user
CVE-2014-4617 - MEDIUM -  gnupg: infinite loop when decompressing data packets
CVE-2019-16276 - MEDIUM -  golang: HTTP/1.1 headers with a space before the colon leads to filter bypass or request smuggling
CVE-2020-16845 - MEDIUM -  golang: ReadUvarint and ReadVarint can read an unlimited number of bytes from invalid inputs
CVE-2020-24553 - MEDIUM -  golang: default Content-Type setting in net/http/cgi and net/http/fcgi could cause XSS
CVE-2020-28367 - MEDIUM -  golang: improper validation of cgo flags can lead to code execution at build time
CVE-2020-28366 - MEDIUM -  golang: malicious symbol names can lead to code execution at build time
CVE-2020-28362 - MEDIUM -  golang: math/big: panic during recursive division of very large numbers
CVE-2020-12762 - MEDIUM -  json-c: integer overflow and out-of-bounds write via a large JSON file
CVE-2015-2696 - MEDIUM -  krb5: IAKERB context aliasing flaw
CVE-2015-2695 - MEDIUM -  krb5: SPNEGO context aliasing bugs
CVE-2021-36222 - MEDIUM -  krb5: Sending a request containing PA-ENCRYPTED-CHALLENGE padata element without using FAST could result in NULL dereference in KDC which leads to DoS
CVE-2015-2697 - MEDIUM -  krb5: build_principal() memory flaw
CVE-2014-5351 - MEDIUM -  krb5: current keys returned when randomizing the keys for a service principal
CVE-2020-28196 - MEDIUM -  krb5: unbounded recursion via an ASN.1-encoded Kerberos message in lib/krb5/asn.1/asn1_encode.c may lead to DoS
CVE-2017-10140 - MEDIUM -  libdb: Reads DB_CONFIG from the current working directory
CVE-2014-5270 - MEDIUM -  libgcrypt: ELGAMAL side-channel attack
CVE-2021-40528 - MEDIUM -  libgcrypt: ElGamal implementation allows plaintext recovery
CVE-2017-7526 - MEDIUM -  libgcrypt: Use of left-to-right sliding window method allows full RSA key recovery
CVE-2021-33560 - MEDIUM -  libgcrypt: mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm
CVE-2018-20673 - MEDIUM -  libiberty: Integer overflow in demangle_template() function
CVE-2021-36087 - MEDIUM -  libsepol: heap-based buffer overflow in ebitmap_match_any()
CVE-2021-36084 - MEDIUM -  libsepol: use-after-free in __cil_verify_classperms()
CVE-2021-36085 - MEDIUM -  libsepol: use-after-free in __cil_verify_classperms()
CVE-2021-36086 - MEDIUM -  libsepol: use-after-free in cil_reset_classpermission()
CVE-2019-3860 - MEDIUM -  libssh2: Out-of-bounds reads with specially crafted SFTP packets
CVE-2019-3859 - MEDIUM -  libssh2: Unchecked use of _libssh2_packet_require and _libssh2_packet_requirev resulting in out-of-bounds read
