CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2021-3927 - LOW -  vim: heap-based buffer overflow in gchar_cursor() in misc1.c
CVE-2021-4166 - LOW -  vim: out-of-bounds read in do_arg_all() in src/arglist.c
CVE-2022-1771 - LOW -  vim: recursive command line loop may cause a Stack-based Buffer Overflow
CVE-2022-1154 - LOW -  vim: use after free in utf_ptr2char
CVE-2021-24032 - LOW -  zstd: Race condition allows attacker to access world-readable destination file
CVE-2022-27943 - MEDIUM -  : binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
CVE-2021-42694 - MEDIUM -  Developer environment: Homoglyph characters can lead to trojan source attack
CVE-2022-27404 - MEDIUM -  FreeType: Buffer Overflow
CVE-2022-27405 - MEDIUM -  FreeType: Segementation Fault
CVE-2022-27406 - MEDIUM -  Freetype: Segmentation violation
CVE-2020-17049 - MEDIUM -  Kerberos: delegation constrain bypass in S4U2Proxy
CVE-2019-12904 - MEDIUM -  Libgcrypt: physical addresses being available to other processes leads to a flush-and-reload side-channel attack
CVE-2022-0122 - MEDIUM -  Open Redirect in node-forge
CVE-2021-25220 - MEDIUM -  bind: DNS forwarders - cache poisoning vulnerability
CVE-2021-25219 - MEDIUM -  bind: Lame cache can be abused to severely degrade resolver performance
CVE-2018-20671 - MEDIUM -  binutils: Integer overflow in load_specific_debug_section function
CVE-2021-20197 - MEDIUM -  binutils: Race window allows users to own arbitrary files
CVE-2018-20623 - MEDIUM -  binutils: Use-after-free in the error function
CVE-2019-9075 - MEDIUM -  binutils: heap-based buffer overflow in function _bfd_archive_64_bit_slurp_armap in archive64.c
CVE-2019-9077 - MEDIUM -  binutils: heap-based buffer overflow in function process_mips_specific in readelf.c
CVE-2018-1000876 - MEDIUM -  binutils: integer overflow leads to heap-based buffer overflow in objdump
CVE-2019-9074 - MEDIUM -  binutils: out-of-bound read in function bfd_getl32 in libbfd.c
CVE-2021-45078 - MEDIUM -  binutils: out-of-bounds write in stab_xcoff_builtin_type() in stabs.c
CVE-2021-38185 - MEDIUM -  cpio: integer overflow in ds_fgetstr() in dstring.c can lead to an out-of-bounds write via a crafted pattern file
CVE-2021-4122 - MEDIUM -  cryptsetup: disable encryption via header rewrite
CVE-2022-22576 - MEDIUM -  curl: OAUTH2 bearer bypass in connection re-use
CVE-2022-27782 - MEDIUM -  curl: TLS and SSH connection too eager reuse
CVE-2022-27776 - MEDIUM -  curl: auth/cookie leak on redirect
CVE-2022-27774 - MEDIUM -  curl: credential leak on redirect
CVE-2022-1304 - MEDIUM -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2022-22822 - MEDIUM -  expat: Integer overflow in addBinding in xmlparse.c
CVE-2022-22823 - MEDIUM -  expat: Integer overflow in build_model in xmlparse.c
CVE-2022-22824 - MEDIUM -  expat: Integer overflow in defineAttribute in xmlparse.c
CVE-2021-46143 - MEDIUM -  expat: Integer overflow in doProlog in xmlparse.c
CVE-2022-23852 - MEDIUM -  expat: Integer overflow in function XML_GetBuffer
CVE-2022-22825 - MEDIUM -  expat: Integer overflow in lookup in xmlparse.c
CVE-2022-22826 - MEDIUM -  expat: Integer overflow in nextScaffoldPart in xmlparse.c
CVE-2022-22827 - MEDIUM -  expat: Integer overflow in storeAtts in xmlparse.c
CVE-2021-45960 - MEDIUM -  expat: Large number of prefixed XML attributes on a single tag can crash libexpat
CVE-2022-25314 - MEDIUM -  expat: integer overflow in copyString()
CVE-2022-0536 - MEDIUM -  follow-redirects: Exposure of Sensitive Information via Authorization Header leak
CVE-2021-3999 - MEDIUM -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2022-23219 - MEDIUM -  glibc: Stack-based buffer overflow in sunrpc clnt_create via a long pathname
CVE-2022-23218 - MEDIUM -  glibc: Stack-based buffer overflow in svcunix_create via long pathnames
CVE-2021-3408 - MEDIUM -  grub2: heap out-of-bound write due to mis-calculation of space required for quoting
CVE-2021-23177 - MEDIUM -  libarchive: extracting a symlink with ACLs modifies ACLs of target
CVE-2020-21674 - MEDIUM -  libarchive: heap-based buffer overflow in archive_string_append_from_wcs function in archive_string.c
CVE-2021-31566 - MEDIUM -  libarchive: symbolic links incorrectly followed when changing modes, times, ACL and flags of a file while extracting an archive
CVE-2021-45940 - MEDIUM -  libbpf: heap-based buffer overflow (4 bytes) in __bpf_object__open
CVE-2021-45941 - MEDIUM -  libbpf: heap-based buffer overflow (8 bytes) in __bpf_object__open
CVE-2021-40528 - MEDIUM -  libgcrypt: ElGamal implementation allows plaintext recovery
CVE-2018-20673 - MEDIUM -  libiberty: Integer overflow in demangle_template() function
CVE-2021-44569 - MEDIUM -  libsolv: Heap overflow
CVE-2021-44570 - MEDIUM -  libsolv: Heap overflow
CVE-2021-44571 - MEDIUM -  libsolv: Heap overflow
CVE-2021-44573 - MEDIUM -  libsolv: Heap overflow
CVE-2021-44574 - MEDIUM -  libsolv: Heap overflow
CVE-2021-44575 - MEDIUM -  libsolv: Heap overflow
CVE-2021-44576 - MEDIUM -  libsolv: Heap overflow
CVE-2021-44577 - MEDIUM -  libsolv: Heap overflow
CVE-2021-44568 - MEDIUM -  libsolv: heap-overflows in resolve_dependencies function
CVE-2022-23308 - MEDIUM -  libxml2: Use-after-free of ID and IDREF attributes
CVE-2022-29824 - MEDIUM -  libxml2: integer overflows in xmlBuf and xmlBuffer lead to out-of-bounds write
CVE-2019-17543 - MEDIUM -  lz4: heap-based buffer overflow in LZ4_write32
CVE-2021-39537 - MEDIUM -  ncurses: heap-based buffer overflow in _nc_captoinfo() in captoinfo.c
CVE-2022-24773 - MEDIUM -  node-forge: Signature verification leniency in checking `DigestInfo` structure
CVE-2020-28500 - MEDIUM -  nodejs-lodash: ReDoS via the toNumber, trim and trimEnd functions
CVE-2022-0512 - MEDIUM -  nodejs-url-parse: authorization bypass through user-controlled key
CVE-2022-0639 - MEDIUM -  npm-url-parse: Authorization Bypass Through User-Controlled Key
CVE-2022-0691 - MEDIUM -  npm-url-parse: authorization bypass through user-controlled key
CVE-2020-12401 - MEDIUM -  nss: ECDSA timing attack mitigation bypass
CVE-2022-29155 - MEDIUM -  openldap: OpenLDAP SQL injection
CVE-2022-1434 - MEDIUM -  openssl: Incorrect MAC key used in the RC4-MD5 ciphersuite
CVE-2022-1292 - MEDIUM -  openssl: c_rehash script allows command injection
CVE-2022-1586 - MEDIUM -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2021-4189 - MEDIUM -  python: ftplib should not use the host from the PASV response
CVE-2021-3521 - MEDIUM -  rpm: RPM does not require subkeys to have a valid binding signature
CVE-2021-35937 - MEDIUM -  rpm: TOCTOU race in checks for unsafe symlinks
CVE-2021-35939 - MEDIUM -  rpm: checks for unsafe symlinks are not performed for intermediary directories
CVE-2021-35938 - MEDIUM -  rpm: races with chown/chmod/capabilities calls during installation
CVE-2021-41072 - MEDIUM -  squashfs-tools: possible Directory Traversal via symbolic link
CVE-2021-40153 - MEDIUM -  squashfs-tools: unvalidated filepaths allow writing outside of destination
CVE-2021-3997 - MEDIUM -  systemd: Uncontrolled recursion in systemd-tmpfiles when removing files
CVE-2018-20839 - MEDIUM -  systemd: mishandling of the current keyboard mode check leading to passwords being disclosed in cleartext to attacker
CVE-2005-2541 - MEDIUM -  tar: does not properly warn the user when extracting setuid or setgid files
CVE-2019-25033 - MEDIUM -  unbound: integer overflow in the regional allocator via the ALIGN_UP macro
CVE-2022-0261 - MEDIUM -  vim: Heap-based buffer overflow in block_insert() in src/ops.c
CVE-2022-0392 - MEDIUM -  vim: Heap-based buffer overflow in getexmodeline() in ex_getln.c
CVE-2022-0359 - MEDIUM -  vim: Heap-based buffer overflow in init_ccline() in ex_getln.c
CVE-2022-0318 - MEDIUM -  vim: Heap-based buffer overflow in utf_head_off() in mbyte.c
CVE-2022-0361 - MEDIUM -  vim: Illegal memory access when copying lines in visual mode leads to heap buffer overflow
CVE-2022-0413 - MEDIUM -  vim: Use after free in src/ex_cmds.c
CVE-2022-1629 - MEDIUM -  vim: buffer over-read
CVE-2022-1621 - MEDIUM -  vim: heap buffer overflow
CVE-2021-4019 - MEDIUM -  vim: heap-based buffer overflow in find_help_tags() in help.c
CVE-2021-3872 - MEDIUM -  vim: heap-based buffer overflow in win_redr_status() in drawscreen.c
CVE-2022-1619 - MEDIUM -  vim: heap-buffer-overflow in cmdline_erase_chars of ex_getln.c
CVE-2021-3984 - MEDIUM -  vim: illegal memory access in find_start_brace() in cindent.c when C-indenting
CVE-2021-4193 - MEDIUM -  vim: out-of-bound read in getvcol()
CVE-2021-4192 - MEDIUM -  vim: use-after-free in win_linetabsize()
