CVE-2016-2141 - CRITICAL -  JGroups: Authorization bypass
CVE-2017-12432 - LOW -  ImageMagick: Memory exhaustion in ReadPCXImage in coders/pcx.c
CVE-2017-12435 - LOW -  ImageMagick: Memory exhaustion in ReadSUNImage function in coders/sun.c
CVE-2017-12563 - LOW -  ImageMagick: Memory exhaustion in the function ReadPSDImage
CVE-2017-13131 - LOW -  ImageMagick: Memory leak in ReadMIFFImage function in coders/miff.c
CVE-2017-12433 - LOW -  ImageMagick: Memory leak in ReadPESImage function in coders/pes.c
CVE-2017-11447 - LOW -  ImageMagick: Memory leak in ReadSCREENSHOTImage function in coders/screenshot.c
CVE-2017-15032 - LOW -  ImageMagick: Memory leak in ReadYCBCRImage
CVE-2018-10805 - LOW -  ImageMagick: Memory leak in ReadYCBCRImage
CVE-2017-15033 - LOW -  ImageMagick: Memory leak in ReadYUVImage
CVE-2018-10804 - LOW -  ImageMagick: Memory leak in WriteTIFFImage
CVE-2017-17882 - LOW -  ImageMagick: Memory leak in function ReadXPMImage in coders/xpm.c
CVE-2017-9405 - LOW -  ImageMagick: Memory leak in the ReadICONImage function
CVE-2017-9262 - LOW -  ImageMagick: Memory leak in the ReadJNGImage function
CVE-2017-13060 - LOW -  ImageMagick: Memory leak in the ReadMATImage function
CVE-2017-9261 - LOW -  ImageMagick: Memory leak in the ReadMNGImage function
CVE-2017-9409 - LOW -  ImageMagick: Memory leak in the ReadMPCImage function
CVE-2017-9407 - LOW -  ImageMagick: Memory leak in the ReadPALMImage function
CVE-2017-9439 - LOW -  ImageMagick: Memory leak in the ReadPDBImage function
CVE-2017-9440 - LOW -  ImageMagick: Memory leak in the ReadPSDChannel function
CVE-2019-7396 - LOW -  ImageMagick: Memory leak in the ReadSIXELImage function in coders/sixel.c
CVE-2019-7398 - LOW -  ImageMagick: Memory leak in the WriteDIBImage function in coders/dib.c
CVE-2017-13059 - LOW -  ImageMagick: Memory leak in the WriteOneJNGImage function
CVE-2017-13058 - LOW -  ImageMagick: Memory leak in the WritePCXImage function
CVE-2019-7397 - LOW -  ImageMagick: Memory leak in the WritePDFImage function in coders/pdf.c
CVE-2017-13062 - LOW -  ImageMagick: Memory leak in the formatIPTC function
CVE-2017-18209 - LOW -  ImageMagick: NULL pointer dereference in GetOpenCLCachedFilesDirectory function in magick/opencl.c
CVE-2017-15015 - LOW -  ImageMagick: NULL pointer dereference in PDFDelegateMessage
CVE-2017-14060 - LOW -  ImageMagick: NULL pointer dereference in ReadCUTImage function
CVE-2017-15016 - LOW -  ImageMagick: NULL pointer dereference in ReadEnhMetaFile
CVE-2017-15017 - LOW -  ImageMagick: NULL pointer dereference in ReadOneMNGImage
CVE-2017-18211 - LOW -  ImageMagick: NULL pointer dereference in saveBinaryCLProgram in magick/opencl.c
CVE-2017-14739 - LOW -  ImageMagick: NULL pointer dereference in the AcquireResampleFilterThreadSet function
CVE-2017-14607 - LOW -  ImageMagick: Out-of-bounds read in ReadTIFFImage in coders/tiff.c
CVE-2018-16645 - LOW -  ImageMagick: Out-of-memory ReadBMPImage of coders/bmp.c and ReadDIBImage of codes/dib.c
CVE-2017-11188 - LOW -  ImageMagick: Resource exhaustion in ReadDPXImage function in coders\dpx.c
CVE-2017-12674 - LOW -  ImageMagick: Resource exhaustion in the function ReadPDBImage
CVE-2019-13135 - LOW -  ImageMagick: a "use of uninitialized value" vulnerability in the function ReadCUTImage leading to a crash and DoS
CVE-2019-13137 - LOW -  ImageMagick: a memory leak vulnerability in the function ReadPSImage in coders/ps.c
CVE-2017-18252 - LOW -  ImageMagick: assertion failure in MogrifyImageList function in MagickWand/mogrify.c
CVE-2019-11472 - LOW -  ImageMagick: denial of service in ReadXWDImage in coders/xwd.c in the XWD image parsing component
CVE-2019-11470 - LOW -  ImageMagick: denial of service in cineon parsing component
CVE-2017-17914 - LOW -  ImageMagick: denial of service in the function ReadOnePNGImage in coders/png.c
CVE-2019-14981 - LOW -  ImageMagick: division by zero in MeanShiftImage in MagickCore/feature.c
CVE-2019-13297 - LOW -  ImageMagick: heap-based buffer over-read at MagickCore/threshold.c in AdaptiveThresholdImage because a height of zero is mishandled
CVE-2019-13295 - LOW -  ImageMagick: heap-based buffer over-read at MagickCore/threshold.c in AdaptiveThresholdImage because a width of zero is mishandled
CVE-2019-15141 - LOW -  ImageMagick: heap-based buffer overflow in WriteTIFFImage in coders/tiff.c
CVE-2018-16644 - LOW -  ImageMagick: improper check for length in ReadDCMImage of coders/dcm.c and ReadPICTImage of coders/pict.c
CVE-2017-18273 - LOW -  ImageMagick: infinite loop ReadTXTImage  in function in coders/txt.c
CVE-2017-18271 - LOW -  ImageMagick: infinite loop in ReadMIFFImage function in coders/miff.c
CVE-2018-20467 - LOW -  ImageMagick: infinite loop in coders/bmp.c
CVE-2018-14434 - LOW -  ImageMagick: memory leak for a colormap in WriteMPCImage in coders/mpc.c
CVE-2018-14435 - LOW -  ImageMagick: memory leak in DecodeImage in coders/pcd.c
CVE-2019-16711 - LOW -  ImageMagick: memory leak in Huffman2DEncodeImage in coders/ps2.c
CVE-2019-16712 - LOW -  ImageMagick: memory leak in Huffman2DEncodeImage in coders/ps3.c
CVE-2018-14436 - LOW -  ImageMagick: memory leak in ReadMIFFImage in coders/miff.c
CVE-2018-16640 - LOW -  ImageMagick: memory leak in ReadOneJNGImage function in coders/png.c
CVE-2018-18016 - LOW -  ImageMagick: memory leak in WritePCXImage in coders/pcx.c
CVE-2019-16710 - LOW -  ImageMagick: memory leak in coders/dot.c
CVE-2019-16713 - LOW -  ImageMagick: memory leak in coders/dot.c
CVE-2019-16709 - LOW -  ImageMagick: memory leak in coders/dps.c
CVE-2018-5358 - LOW -  ImageMagick: memory leak in coders/json.c:EncodeImageAttributes could cause crash
CVE-2017-17884 - LOW -  ImageMagick: memory leak in function WriteOnePNGImage in coders/png.c
CVE-2019-16708 - LOW -  ImageMagick: memory leak in magick/xwindow.c
CVE-2018-14437 - LOW -  ImageMagick: memory leak in parse8BIM in coders/meta.c
CVE-2018-13153 - LOW -  ImageMagick: memory leak in the XMagickCommand function in MagickCore/animate.c
CVE-2017-17887 - LOW -  ImageMagick: memory leak in the function GetImagePixelCache
CVE-2017-17885 - LOW -  ImageMagick: memory leak in the function ReadPICTImage in coders/pict.c
CVE-2017-17886 - LOW -  ImageMagick: memory leak in the function ReadPSDChannelZip in coders/psd.c
CVE-2017-17881 - LOW -  ImageMagick: memory leak vulnerability in the function ReadMATImage in coders/mat.c
CVE-2017-18027 - LOW -  ImageMagick: memory leak vulnerability in the function ReadMATImage in coders/mat.c
CVE-2019-13311 - LOW -  ImageMagick: memory leaks at AcquireMagickMemory because of a wand/mogrify.c error
CVE-2019-13310 - LOW -  ImageMagick: memory leaks at AcquireMagickMemory because of an error in MagickWand/mogrify.c
CVE-2019-13301 - LOW -  ImageMagick: memory leaks in AcquireMagickMemory
CVE-2019-15139 - LOW -  ImageMagick: out-of-bounds read in ReadXWDImage in coders/xwd.c
CVE-2021-3477 - LOW -  OpenEXR: Heap-buffer-overflow in Imf_2_5::DeepTiledInputFile::readPixelSampleCounts
CVE-2017-9112 - LOW -  OpenEXR: Out-of-bounds read in the getBits function
CVE-2017-9110 - LOW -  OpenEXR: Out-of-bounds read in the hufDecode function
CVE-2017-9116 - LOW -  OpenEXR: Out-of-bounds read in the uncompress function
CVE-2017-9115 - LOW -  OpenEXR: Out-of-bounds write in the = operator function
CVE-2017-9113 - LOW -  OpenEXR: Out-of-bounds write in the bufferedReadPixels function
CVE-2017-9111 - LOW -  OpenEXR: Out-of-bounds write in the storeSSE function
CVE-2021-3474 - LOW -  OpenEXR: Undefined-shift in Imf_2_5::FastHufDecoder::FastHufDecoder
CVE-2019-2602 - LOW -  OpenJDK: Slow conversion of BigDecimal to long (Libraries, 8211936)
CVE-2019-2422 - LOW -  OpenJDK: memory disclosure in FileChannelImpl (Libraries, 8206290)
CVE-2018-0495 - LOW -  ROHNP: Key Extraction Side Channel in Multiple Crypto Libraries
CVE-2017-6519 - LOW -  avahi: Multicast DNS responds to unicast queries outside of local network
CVE-2017-6314 - LOW -  gdk-pixbuf: Infinite loop in io-tiff.c
CVE-2017-6313 - LOW -  gdk-pixbuf: Integer underflow in io-icns.c
CVE-2018-11645 - LOW -  ghostscript: status command permitted with -dSAFER in psi/zfile.c allowing attackers to identify the size and existence of files
CVE-2017-12133 - LOW -  glibc: Use-after-free read access in clntudp_call in sunrpc
CVE-2019-7175 - LOW -  imagemagick: memory leak in function DecodeImage in coders/pcd.c
CVE-2019-12976 - LOW -  imagemagick: memory leak vulnerability in function ReadPCLImage in coders/pcl.c
CVE-2019-12975 - LOW -  imagemagick: memory leak vulnerability in function WriteDPXImage in coders/dpx.c
CVE-2019-12974 - LOW -  imagemagick: null-pointer dereference in function ReadPANGOImage in coders/pango.c and ReadVIDImage in coders/vid.c causing denial of service
CVE-2019-12977 - LOW -  imagemagick: use of uninitialised value in function WriteJP2Image in coders/jp2.c
CVE-2019-12978 - LOW -  imagemagick: use of uninitialized value in function ReadPANGOImage in coders/pango.c
CVE-2019-12979 - LOW -  imagemagick: use of uninitialized value in functionSyncImageSettings in MagickCore/image.c
CVE-2017-11462 - LOW -  krb5: Automatic sec context deletion could lead to double-free
CVE-2016-7943 - LOW -  libX11: Insufficient validation of server responses in FontNames
CVE-2016-7942 - LOW -  libX11: Insufficient validation of server responses in XGetImage()
CVE-2018-1152 - LOW -  libjpeg-turbo: Divide by zero allows for denial of service via crafted BMP image
CVE-2016-10087 - LOW -  libpng: NULL pointer dereference in png_set_text_2()
CVE-2017-11464 - LOW -  librsvg: SIGFPE is raised in box_blur_line function of rsvg-filter.c
CVE-2017-16942 - LOW -  libsndfile: divide-by-zero error in wav_w64_read_fmt_chunk()
CVE-2016-10371 - LOW -  libtiff: Assertion failure in TIFFWriteDirectoryTagCheckedRational
CVE-2016-5102 - LOW -  libtiff: Buffer overflow in readgifimage()
CVE-2017-9404 - LOW -  libtiff: Memory leak in OJPEGReadHeaderInfoSecTablesQTable
CVE-2017-9403 - LOW -  libtiff: Memory leak in TIFFReadDirEntryLong8Array
CVE-2017-9815 - LOW -  libtiff: Memory leak in the TIFFReadDirEntryLong8Array function
CVE-2017-12944 - LOW -  libtiff: Mishandled memory allocation for short files in the TIFFReadDirEntryArray function
CVE-2019-9232 - LOW -  libvpx: Out of bounds read in vp8_norm table
CVE-2019-9325 - LOW -  libvpx: Out-of-bounds read in read in decoder_peek_si_internal() in vp9/vp9_dx_iface.c
CVE-2019-9433 - LOW -  libvpx: Use-after-free in vp8_deblock() in vp8/common/postproc.c
CVE-2017-16932 - LOW -  libxml2: Infinite recursion in parameter entities
CVE-2018-5269 - LOW -  opencv: Assertion failure due to incorrect integer cast
CVE-2017-13685 - LOW -  sqlite: Local DoS via dump_callback function
CVE-2018-8740 - LOW -  sqlite: NULL pointer dereference with databases with schema corrupted with CREATE TABLE AS allows for denial of service
CVE-2019-9937 - LOW -  sqlite: null-pointer dereference in function fts5ChunkIterate in sqlite3.c
CVE-2017-9217 - LOW -  systemd: Null pointer dereference in dns_packet_is_reply_for function
CVE-2017-6508 - LOW -  wget: CRLF injection in the url_parse function in url.c
CVE-2017-11524 - MEDIUM -  ImageMagick: Assertion failure in the WriteBlob function
CVE-2017-14682 - MEDIUM -  ImageMagick: Heap buffer overflow in the GetNextToken function
CVE-2017-17879 - MEDIUM -  ImageMagick: Heap-based buffer over-read in ReadOneMNGImage function in coders/png.c
CVE-2017-14224 - MEDIUM -  ImageMagick: Heap-based buffer overflow in the WritePCXImage function
CVE-2017-11352 - MEDIUM -  ImageMagick: Improper EOF handling in coders/rle.c can trigger crash (Incomplete fix for CVE-2017-9144)
CVE-2017-13145 - MEDIUM -  ImageMagick: Improper input validation in ReadJP2Image function in coders/jp2.c
CVE-2017-13142 - MEDIUM -  ImageMagick: Improper validation of short files in coders/png.c
CVE-2017-11448 - MEDIUM -  ImageMagick: Info leak from from uninitialized memory in ReadJPEGImage function
CVE-2017-16546 - MEDIUM -  ImageMagick: Invalid memory allocation in the ReadWPGImage function
CVE-2017-14531 - MEDIUM -  ImageMagick: Memory exhaustion in the ReadSUNImage function
CVE-2017-15218 - MEDIUM -  ImageMagick: Memory leak in ReadOneJNGImage
CVE-2017-15217 - MEDIUM -  ImageMagick: Memory leak in ReadSGIImage
CVE-2017-14624 - MEDIUM -  ImageMagick: NULL pointer dereference in the PostscriptDelegateMessage function
CVE-2017-14532 - MEDIUM -  ImageMagick: NULL pointer dereference in the TIFFIgnoreTags function
CVE-2017-14626 - MEDIUM -  ImageMagick: NULL pointer dereference in the sixel_decode function
CVE-2017-14625 - MEDIUM -  ImageMagick: NULL pointer dereference in the sixel_output_create function
CVE-2017-14505 - MEDIUM -  ImageMagick: Null pointer dereference in DrawGetStrokeDashArray function in wand/drawing-wand.c
CVE-2017-13139 - MEDIUM -  ImageMagick: Out of bounds read in ReadOneMNGImage function in coders/png.c
CVE-2017-11450 - MEDIUM -  ImageMagick: Too short JPEG data causes denial of service in coders/jpeg.c
CVE-2017-14989 - MEDIUM -  ImageMagick: Use-after-free in RendererFreetype
CVE-2017-12431 - MEDIUM -  ImageMagick: User-after-free in ReadWMFImage in coders/wmf.c
CVE-2017-11449 - MEDIUM -  ImageMagick: coders/mpc.c don't validade blob sizes of mpc images received from stdin
CVE-2017-13134 - MEDIUM -  ImageMagick: heap-based buffer over-read in SFWScan function in coders/sfw.c
CVE-2019-13300 - MEDIUM -  ImageMagick: heap-based buffer overflow at MagickCore/statistic.c in EvaluateImages because of mishandling columns
CVE-2019-13307 - MEDIUM -  ImageMagick: heap-based buffer overflow at MagickCore/statistic.c in EvaluateImages because of mishandling rows
CVE-2017-18028 - MEDIUM -  ImageMagick: memory exhaustion in the function ReadTIFFImage in coders/tiff.c
CVE-2017-18251 - MEDIUM -  ImageMagick: memory leak in ReadPCDImage function in coders/pcd.c
CVE-2017-18254 - MEDIUM -  ImageMagick: memory leak in WriteGIFImage function in coders/gif.c
CVE-2017-18029 - MEDIUM -  ImageMagick: memory leak in the function ReadMATImage in coders/mat.c
CVE-2019-13309 - MEDIUM -  ImageMagick: memory leaks at AcquireMagickMemory due to mishandling the NoSuchImage error in CLIListOperatorImages
CVE-2018-16643 - MEDIUM -  ImageMagick: missing check for fputc function in multiple files
CVE-2018-16642 - MEDIUM -  ImageMagick: out-of-bounds write in InsertRow function in coders/cut.c
CVE-2019-13304 - MEDIUM -  ImageMagick: stack-based buffer overflow at coders/pnm.c in WritePNMImage because of a misplaced assignment
CVE-2019-13305 - MEDIUM -  ImageMagick: stack-based buffer overflow at coders/pnm.c in WritePNMImage because of a misplaced strncpy and an off-by-one error
CVE-2019-13306 - MEDIUM -  ImageMagick: stack-based buffer overflow at coders/pnm.c in WritePNMImage because of off-by-one errors
CVE-2015-3271 - MEDIUM -  Moderate severity vulnerability that affects org.apache.tika:tika-core
CVE-2014-3604 - MEDIUM -  Not Yet Commons SSL: Hostname verification susceptible to MITM attack
CVE-2021-3475 - MEDIUM -  OpenEXR: Integer-overflow in Imf_2_5::calculateNumTiles
CVE-2021-3479 - MEDIUM -  OpenEXR: Out-of-memory caused by allocation of a very large buffer
CVE-2021-3478 - MEDIUM -  OpenEXR: Out-of-memory in ScanLineInputFile
CVE-2021-3476 - MEDIUM -  OpenEXR: Undefined-shift in Imf_2_5::unpack14
CVE-2020-11765 - MEDIUM -  OpenEXR: off-by-one error in ImfXdr.h read function by DwaCompressor::Classifier::Classifier leading to an out-of-bounds read
CVE-2020-11762 - MEDIUM -  OpenEXR: out-of-bounds read and write in DwaCompressor::uncompress in ImfDwaCompressor.cpp
CVE-2020-11761 - MEDIUM -  OpenEXR: out-of-bounds read during Huffman uncompression
CVE-2020-11760 - MEDIUM -  OpenEXR: out-of-bounds read during RLE uncompression in rleUncompress function in ImfRle.cpp
CVE-2020-11758 - MEDIUM -  OpenEXR: out-of-bounds read in ImfOptimizedPixelReading.h
CVE-2020-11759 - MEDIUM -  OpenEXR: out-of-bounds write due to integer overflows in CompositeDeepScanLine::Data::handleDeepFrameBuffer and readSampleCountForLineBlock
CVE-2020-11764 - MEDIUM -  OpenEXR: out-of-bounds write in copyIntoFrameBuffer function in ImfMisc.cpp
CVE-2020-11763 - MEDIUM -  OpenEXR: std::vector out-of-bounds read and write in ImfTileOffsets.cpp
CVE-2020-14782 - MEDIUM -  OpenJDK: Certificate blacklist bypass via alternate certificate encodings (Libraries, 8237995)
CVE-2020-14781 - MEDIUM -  OpenJDK: Credentials sent over unencrypted LDAP connection (JNDI, 8237990)
CVE-2019-2698 - MEDIUM -  OpenJDK: Font layout engine out of bounds access setCurrGlyphID() (2D, 8219022)
CVE-2020-14779 - MEDIUM -  OpenJDK: High memory usage during deserialization of Proxy class with many interfaces (Serialization, 8236862)
CVE-2020-14797 - MEDIUM -  OpenJDK: Incomplete check for invalid characters in URI to path conversion (Libraries, 8242685)
CVE-2021-2163 - MEDIUM -  OpenJDK: Incomplete enforcement of JAR signing disabled algorithms (Libraries, 8249906)
CVE-2020-2659 - MEDIUM -  OpenJDK: Incomplete enforcement of maxDatagramSockets limit in DatagramChannelImpl (Networking, 8231795)
CVE-2020-14792 - MEDIUM -  OpenJDK: Integer overflow leading to out-of-bounds access (Hotspot, 8241114)
CVE-2020-14798 - MEDIUM -  OpenJDK: Missing maximum length check in WindowsNativeDispatcher.asNativeBuffer() (Libraries, 8242695)
CVE-2020-14796 - MEDIUM -  OpenJDK: Missing permission check in path to URI conversion (Libraries, 8242680)
CVE-2013-5823 - MEDIUM -  OpenJDK: com.sun.org.apache.xml.internal.security.utils.UnsyncByteArrayOutputStream Denial of Service (Security, 8021290)
CVE-2014-3603 - MEDIUM -  OpenSAML Java: HTTPS Connections Via HTTP Resources Do Not Perform Hostname Verification
CVE-2019-2697 - MEDIUM -  Oracle JDK: Unspecified vulnerability fixed in 7u221 and 8u211 (2D)
CVE-2020-10688 - MEDIUM -  RESTEasy: RESTEASY003870 exception in RESTEasy can lead to a reflected XSS attack
CVE-2016-6347 - MEDIUM -  RESTEasy: Use of the default exception handler in RESTEasy can lead to reflected XSS attack
CVE-2015-3192 - MEDIUM -  Spring Framework: denial-of-service attack with XML input
CVE-2020-15522 - MEDIUM -  bouncycastle: Timing issue within the EC math library
CVE-2017-15422 - MEDIUM -  chromium-browser: integer overflow in icu
CVE-2018-6553 - MEDIUM -  cups: AppArmor cupsd Sandbox Bypass Due to Use of Hard Links
CVE-2017-18190 - MEDIUM -  cups: DNS rebinding attacks via incorrect whitelist
CVE-2017-18248 - MEDIUM -  cups: Invalid usernames handled in scheduler/ipp.c:add_job() allow remote attackers to cause a denial of service
CVE-2018-4180 - MEDIUM -  cups: Local privilege escalation to root due to insecure environment variable handling
CVE-2018-4181 - MEDIUM -  cups: Manipulation of cupsd.conf by a local attacker resulting in limited reads of arbitrary files as root
CVE-2018-4300 - MEDIUM -  cups: Session cookie generated by the CUPS web interface is easy to guess
CVE-2020-3898 - MEDIUM -  cups: heap based buffer overflow in libcups's ppdFindOption() in ppd-mark.c
CVE-2019-8696 - MEDIUM -  cups: stack-buffer-overflow in libcups's asn1_get_packed function
CVE-2019-5094 - MEDIUM -  e2fsprogs: Crafted ext4 partition leads to out-of-bounds write
CVE-2017-9233 - MEDIUM -  expat: Inifinite loop due to invalid XML in external entity
CVE-2017-2862 - MEDIUM -  gdk-pixbuf2: Heap overflow in the gdk_pixbuf__jpeg_image_load_increment function
CVE-2017-2870 - MEDIUM -  gdk-pixbuf2: Integer overflow in tiff_image_parse function
CVE-2018-16542 - MEDIUM -  ghostscript: .definemodifiedfont memory corruption if /typecheck is handled (699668)
CVE-2018-16585 - MEDIUM -  ghostscript: .setdistillerkeys PostScript command is accepted even though it is not intended for use
CVE-2018-15908 - MEDIUM -  ghostscript: .tempfile file permission issues (699657)
CVE-2018-18284 - MEDIUM -  ghostscript: 1Policy operator allows a sandbox protection bypass
CVE-2018-19478 - MEDIUM -  ghostscript: Attempting to open a carefully crafted PDF file results in long-running computation (699856)
CVE-2018-16802 - MEDIUM -  ghostscript: Incorrect "restoration of privilege" checking when running out of stack during exception handling
CVE-2018-16541 - MEDIUM -  ghostscript: Incorrect free logic in pagedevice replacement (699664)
CVE-2018-15910 - MEDIUM -  ghostscript: LockDistillerParams type confusion (699656)
CVE-2018-19134 - MEDIUM -  ghostscript: Type confusion in setpattern (700141)
CVE-2018-15911 - MEDIUM -  ghostscript: Uninitialized memory access in the aesdecode operator (699665)
CVE-2018-19477 - MEDIUM -  ghostscript: access bypass in psi/zfjbig2.c (700168)
CVE-2018-19476 - MEDIUM -  ghostscript: access bypass in psi/zicc.c (700169)
CVE-2018-16543 - MEDIUM -  ghostscript: gssetresolution and gsgetresolution memory corruption (699670)
CVE-2018-16539 - MEDIUM -  ghostscript: incorrect access checking in temp file handling to disclose contents of files (699658)
CVE-2018-16511 - MEDIUM -  ghostscript: missing type check in type checker (699659)
CVE-2018-16513 - MEDIUM -  ghostscript: setcolor missing type check (699655)
CVE-2018-15909 - MEDIUM -  ghostscript: shading_param incomplete type checking (699660)
CVE-2018-16540 - MEDIUM -  ghostscript: use-after-free in copydevice handling (699661)
CVE-2019-15133 - MEDIUM -  giflib: divide-by-zero exception in the decoder function DGifSlurp in dgif_lib.c
CVE-2021-27218 - MEDIUM -  glib: integer overflow in g_byte_array_new_take function when called with a buffer of 4GB or more on a 64-bit platform
CVE-2018-10846 - MEDIUM -  gnutls: "Just in Time" PRIME + PROBE cache-based side channel attack can lead to plaintext recovery
CVE-2018-10844 - MEDIUM -  gnutls: HMAC-SHA-256 vulnerable to Lucky thirteen attack due to not enough dummy function calls
CVE-2018-10845 - MEDIUM -  gnutls: HMAC-SHA-384 vulnerable to Lucky thirteen attack due to use of wrong constant
CVE-2017-7776 - MEDIUM -  graphite2: heap-buffer-overflow read "graphite2::Silf::getClassGlyph"
CVE-2017-7772 - MEDIUM -  graphite2: heap-buffer-overflow write "lz4::decompress" (CVE-2017-7772)
CVE-2017-7773 - MEDIUM -  graphite2: heap-buffer-overflow write "lz4::decompress" (src/Decompressor)
CVE-2017-7774 - MEDIUM -  graphite2: out of bounds read "graphite2::Silf::readGraphite"
CVE-2017-7771 - MEDIUM -  graphite2: out of bounds read in "graphite2::Pass::readPass"
CVE-2017-7777 - MEDIUM -  graphite2: use of uninitialized memory "graphite2::GlyphCache::Loader::read_glyph"
CVE-2020-25711 - MEDIUM -  infinispan: authorization check missing for server management operations
CVE-2020-35510 - MEDIUM -  jboss-remoting: Threads hold up forever in the EJB server by suppressing the ack from an EJB client
CVE-2017-11368 - MEDIUM -  krb5: Invalid S4U2Self or S4U2Proxy request causes assertion failure
CVE-2016-3120 - MEDIUM -  krb5: S4U2Self KDC crash when anon is restricted
CVE-2016-3119 - MEDIUM -  krb5: null pointer dereference in kadmin
CVE-2018-16435 - MEDIUM -  lcms2: Integer overflow in AllocateDataSet() in cmscgats.c leading to heap-based buffer overflow
CVE-2017-16612 - MEDIUM -  libXcursor: file.c: heap-based buffer overflow when reading/creating images
CVE-2020-13790 - MEDIUM -  libjpeg-turbo: heap-based buffer over-read in get_rgb_row() in rdppm.c
CVE-2019-2201 - MEDIUM -  libjpeg-turbo: several integer overflows and subsequent segfaults when attempting to compress/decompress gigapixel images
CVE-2019-9852 - MEDIUM -  libreoffice: Insufficient URL encoding flaw in allowed script location check
CVE-2019-9850 - MEDIUM -  libreoffice: Insufficient URL validation allowing LibreLogo script execution
CVE-2019-9849 - MEDIUM -  libreoffice: Remote resources protection module not applied to bullet graphics
CVE-2019-9854 - MEDIUM -  libreoffice: Unsafe URL assembly flaw in allowed script location check
CVE-2018-6003 - MEDIUM -  libtasn1: Stack exhaustion due to indefinite recursion during BER decoding
CVE-2020-35524 - MEDIUM -  libtiff: Heap-based buffer overflow in TIFF2PDF tool
CVE-2020-35523 - MEDIUM -  libtiff: Integer overflow in tif_getimage.c
