CVE-2022-28391 - CRITICAL -  busybox: remote attackers may execute arbitrary code if netstat is used
CVE-2021-39135 - HIGH -  nodejs-arborist: symlink following vulnerability
CVE-2021-23337 - HIGH -  nodejs-lodash: command injection via template
CVE-2020-8203 - HIGH -  nodejs-lodash: prototype pollution in zipObjectDeep function
CVE-2021-37713 - HIGH -  nodejs-tar: Arbitrary File Creation/Overwrite on Windows via insufficient relative path sanitization
CVE-2021-37701 - HIGH -  nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite
CVE-2021-37712 - HIGH -  nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite
CVE-2021-23358 - HIGH -  nodejs-underscore: Arbitrary code execution via the template function
CVE-2020-7774 - HIGH -  nodejs-y18n: prototype pollution vulnerability
CVE-2021-44531 - HIGH -  nodejs: Improper handling of URI Subject Alternative Names
CVE-2022-21824 - HIGH -  nodejs: Prototype pollution via console.table properties
CVE-2022-0778 - HIGH -  openssl: Infinite loop in BN_mod_sqrt() reachable when parsing certificates
CVE-2019-16884 - HIGH -  runc: AppArmor/SELinux bypass with malicious image that specifies a volume at /proc
CVE-2019-19921 - HIGH -  runc: volume mount race condition with shared mounts leads to information leak/integrity manipulation
CVE-2021-30465 - HIGH -  runc: vulnerable to symlink exchange attack
CVE-2018-25032 - HIGH -  zlib: A flaw found in zlib when compressing (not decompressing) certain inputs
GHSA-ch52-vgq2-943f - LOW -  Regular Expression Denial of Service in marked
CVE-2020-26237 - LOW -  nodejs-highlight-js: prototype pollution via a crafted HTML code block
CVE-2021-3820 - MEDIUM -  Inefficient Regular Expression in inflect
GHSA-7wwv-vh3v-89cq - MEDIUM -  ReDOS vulnerabities: multiple grammars
CVE-2021-42374 - MEDIUM -  busybox: out-of-bounds read in unlzma applet leads to information leak and denial of service when crafted LZMA-compressed input is decompressed
CVE-2021-21334 - MEDIUM -  containerd CRI plugin: information leak between containers via environment variables
CVE-2020-15157 - MEDIUM -  containerd: credentials leak during image pull
CVE-2021-32760 - MEDIUM -  containerd: pulling and extracting crafted container image may result in Unix file permission changes
CVE-2020-15257 - MEDIUM -  containerd: unrestricted access to abstract Unix domain socket can lead to privileges escalation
CVE-2020-13401 - MEDIUM -  docker: IPv6 router advertisements allow for MitM attacks
CVE-2016-9962 - MEDIUM -  docker: insecure opening of file-descriptor allows privilege escalation
CVE-2021-22959 - MEDIUM -  llhttp: HTTP Request Smuggling due to spaces in headers
CVE-2021-22960 - MEDIUM -  llhttp: HTTP Request Smuggling when parsing the body of chunked requests
CVE-2022-24769 - MEDIUM -  moby: Default inheritable capabilities for linux container should be empty
CVE-2021-3377 - MEDIUM -  nodejs-ansi_up: XSS due to insufficient URL sanitization
CVE-2020-28500 - MEDIUM -  nodejs-lodash: ReDoS via the toNumber, trim and trimEnd functions
CVE-2020-7598 - MEDIUM -  nodejs-minimist: prototype pollution allows adding or modifying properties of Object.prototype using a constructor or __proto__ payload
CVE-2021-29418 - MEDIUM -  nodejs-netmask: incorrectly parses an IP address that has octal integer with invalid character
CVE-2021-32796 - MEDIUM -  nodejs-xmldom: misinterpretation of malicious XML input
CVE-2020-7608 - MEDIUM -  nodejs-yargs-parser: prototype pollution vulnerability
CVE-2021-44532 - MEDIUM -  nodejs: Certificate Verification Bypass via String Injection
CVE-2021-44533 - MEDIUM -  nodejs: Incorrect handling of certificate subject and issuer fields
CVE-2021-43784 - MEDIUM -  runc: integer overflow in netlink bytemsg length field allows attacker to override netlink-based container configuration
GMS-2021-175 - UNKNOWN -  Ambiguous OCI manifest parsing
GMS-2021-101 - UNKNOWN -  Clarify `mediaType` handling
GMS-2021-177 - UNKNOWN -  Devices resource list treated as a denylist by default
GMS-2022-20 - UNKNOWN -  OCI Manifest Type Confusion Issue
