CVE-2022-21499 - HIGH -  ELSA-2022-9427:  Unbreakable Enterprise kernel-container security update (IMPORTANT)
CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2018-12929 - LOW -  kernel: use-after-free in ntfs_read_locked_inode in the ntfs.ko
CVE-2021-4048 - LOW -  lapack: Out-of-bounds read in *larrv
CVE-2018-20657 - LOW -  libiberty: Memory leak in demangle_template function resulting in a denial of service
CVE-2020-17541 - LOW -  libjpeg-turbo: Stack-based buffer overflow in the "transform" component
CVE-2021-4156 - LOW -  libsndfile: heap out-of-bounds read in src/flac.c in flac_buffer_copy
CVE-2018-10126 - LOW -  libtiff: NULL pointer dereference in the jpeg_fdct_16x16 function in jfdctint.c
CVE-2017-9937 - LOW -  libtiff: memory malloc failure in tif_jbig.c could cause DOS.
CVE-2022-22844 - LOW -  libtiff: out-of-bounds read in _TIFFmemcpy() in tif_unix.c
CVE-2016-20013 - LOW -  null
CVE-2017-0537 - LOW -  null
CVE-2017-13165 - LOW -  null
CVE-2020-9849 - LOW -  null
CVE-2020-9991 - LOW -  null
CVE-2019-6988 - LOW -  openjpeg: DoS via memory exhaustion in opj_decompress
CVE-2021-3575 - LOW -  openjpeg: heap-buffer-overflow in color.c may lead to DoS or arbitrary code execution
CVE-2021-29338 - LOW -  openjpeg: out-of-bounds write due to an integer overflow in opj_compress.c
CVE-2020-14145 - LOW -  openssh: Observable discrepancy leading to an information leak in the algorithm negotiation
CVE-2021-41617 - LOW -  openssh: privilege escalation when AuthorizedKeysCommand or AuthorizedPrincipalsCommand are configured
CVE-2022-1586 - LOW -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - LOW -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2017-11164 - LOW -  pcre: OP_KETRMAX feature in the match function in pcre_exec.c
CVE-2019-9543 - LOW -  poppler: recursive function call in JBIG2Stream::readGenericBitmap() in JBIG2Stream.cc causing denial of service
CVE-2019-9545 - LOW -  poppler: recursive function call in JBIG2Stream::readTextRegion() in JBIG2Stream.cc causing denial of service
CVE-2018-1121 - LOW -  procps-ng, procps: process hiding through race condition enumerating /proc
CVE-2021-22570 - LOW -  protobuf: Incorrect parsing of nullchar in the proto symbol  leads to  Nullptr dereference
CVE-2015-20107 - LOW -  python(mailcap): findmatch() function does not sanitise the second argument
CVE-2020-17507 - LOW -  qt: buffer over-read in read_xbm_body in gui/image/qxbmhandler.cpp
CVE-2021-3671 - LOW -  samba: Null pointer dereference on missing sname in TGS-REQ
CVE-2013-4235 - LOW -  shadow-utils: TOCTOU race conditions by copying and removing directory trees
CVE-2021-44269 - LOW -  wavpack: heap Out-of-bounds Read
CVE-2018-7727 - LOW -  zziplib: Memory leak in memdisk.c:zzip_mem_disk_new() can lead to denial of service via crafted zip
CVE-2018-17828 - LOW -  zziplib: directory traversal in unzzip_cat in the bins/unzzipcat-mem.c
CVE-2015-8553 - MEDIUM -  CVE-2015-2150 CVE-2015-8553 xen: non-maskable interrupts triggerable by guests (xsa120)
CVE-2022-27404 - MEDIUM -  FreeType: Buffer Overflow
CVE-2020-14410 - MEDIUM -  SDL2: Heap-based buffer over-read in Blit_3or4_to_3or4__inversed_rgb in video/SDL_blit_N.c via a crafted .BMP file
CVE-2020-14409 - MEDIUM -  SDL2: Integer overflow in SDL_BlitCopy in video/SDL_blit_copy.c via a crafted .BMP file
CVE-2022-1304 - MEDIUM -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2021-44648 - MEDIUM -  gdk-pixbuf: heap-buffer overflow when decoding the lzw compressed stream of image data
CVE-2018-17234 - MEDIUM -  hdf5: Memory leak in the H5O__chunk_deserialize() function in H5Ocache.c
CVE-2018-17432 - MEDIUM -  hdf5: NULL pointer dereference in H5O_sdspace_encode() in H5Osdspace.c
CVE-2019-8397 - MEDIUM -  hdf5: Out-of-Bounds Read in function H5T_close_real in H5T.c
CVE-2017-17507 - MEDIUM -  hdf5: Out-of-bounds read in the H5T_conv_struct_opt function
CVE-2018-17233 - MEDIUM -  hdf5: SIGFPE signal in H5D__create_chunk_file_map_hyper() of H5Dchunk.c
CVE-2018-17434 - MEDIUM -  hdf5: SIGFPE signal in apply_filters() in h5repack_filters.c
CVE-2018-17438 - MEDIUM -  hdf5: SIGFPE signal in function H5D__select_io() of H5Dselect.c
CVE-2018-17433 - MEDIUM -  hdf5: heap-based buffer overflow in ReadGifImageDesc() in gifread.c
CVE-2018-17437 - MEDIUM -  hdf5: memory leak in H5O_dtype_decode_helper() in H5Odtype.c
CVE-2019-9152 - MEDIUM -  hdf5: out of bounds read in function H5MM_xstrdup in H5MM.c
CVE-2019-9151 - MEDIUM -  hdf5: out of bounds read in function H5VM_memcpyvv in H5VM.c
CVE-2022-1652 - MEDIUM -  kernel: A concurrency use-after-free in bad_flp_intr
CVE-2022-1195 - MEDIUM -  kernel: A possible race condition (use-after-free) in drivers/net/hamradio/6pack ( mkiss.c) after unregister_netdev
CVE-2020-13844 - MEDIUM -  kernel: ARM straight-line speculation vulnerability
CVE-2021-4150 - MEDIUM -  kernel: Block subsystem mishandles reference counts
CVE-2022-1836 - MEDIUM -  kernel: Concurrency use-after-free in floppy's raw_cmd
CVE-2021-4148 - MEDIUM -  kernel: Improper implementation of block_invalidatepage() allows users to crash the kernel
CVE-2020-12362 - MEDIUM -  kernel: Integer overflow in Intel(R) Graphics Drivers
CVE-2018-17977 - MEDIUM -  kernel: Mishandled interactions among XFRM Netlink messages, IPPROTO_AH packets, and IPPROTO_IP packets resulting in a denial of service
CVE-2021-44879 - MEDIUM -  kernel: NULL pointer dereference in folio_mark_dirty() via a crafted f2fs image
CVE-2022-1263 - MEDIUM -  kernel: Null pointer dereference in kvm_dirty_ring_push in virt/kvm/dirty_ring.c
CVE-2022-0400 - MEDIUM -  kernel: Out of bounds read in the smc protocol stack
CVE-2022-1012 - MEDIUM -  kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak
CVE-2020-24504 - MEDIUM -  kernel: Uncontrolled resource consumption in some Intel(R) Ethernet E810 Adapter drivers
CVE-2022-28893 - MEDIUM -  kernel: Use after free in SUNRPC subsystem
CVE-2022-1734 - MEDIUM -  kernel: Use-After-Free in NFC driver in nfcmrvl_nci_unregister_dev when simulating NFC device from user-space
CVE-2022-0998 - MEDIUM -  kernel: an integer overflow in the vhost_vdpa_config_validate() can lead to out-of-bounds access on top of a 32-bit Linux kernel
CVE-2021-4159 - MEDIUM -  kernel: another kernel ptr leak vulnerability via BPF in coerce_reg_to_size
CVE-2020-27835 - MEDIUM -  kernel: child process is able to access parent mm through hfi dev file handle
CVE-2021-3864 - MEDIUM -  kernel: descendant's dumpable setting with certain SUID binaries
CVE-2020-36310 - MEDIUM -  kernel: infinite loop in set_memory_region_test in arch/x86/kvm/svm/svm.c for certain nested page faults
CVE-2022-0382 - MEDIUM -  kernel: information leak due to uninitialized memory in __tipc_sendmsg() in net/tipc/socket.c
CVE-2022-0494 - MEDIUM -  kernel: information leak in  scsi_ioctl()
CVE-2021-33061 - MEDIUM -  kernel: insufficient control flow management for the Intel(R) 82599 Ethernet Controllers and Adapters may lead to DoS
CVE-2022-1786 - MEDIUM -  kernel: invalid-free in io_uring that can lead to LPE
CVE-2022-0480 - MEDIUM -  kernel: memcg does not limit the number of POSIX file locks allowing memory exhaustion
CVE-2013-7445 - MEDIUM -  kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects
CVE-2022-1508 - MEDIUM -  kernel: out-of-bounds read in iov_iter_revert() in lib/iov_iter.c
CVE-2022-1048 - MEDIUM -  kernel: race condition in snd_pcm_hw_free leading to use-after-free
CVE-2021-4001 - MEDIUM -  kernel: race condition when the EBPF map is frozen
CVE-2021-20320 - MEDIUM -  kernel: s390 eBPF JIT miscompilation issues fixes
CVE-2022-0168 - MEDIUM -  kernel: smb2_ioctl_query_info NULL Pointer Dereference
CVE-2021-4218 - MEDIUM -  kernel: sysctl parameter read causes kernel panic ( rpcrdma module )
CVE-2016-8660 - MEDIUM -  kernel: xfs: local DoS due to a page lock order bug in the XFS seek hole/data implementation
CVE-2021-37750 - MEDIUM -  krb5: NULL pointer dereference in process_tgs_req() in kdc/do_tgs_req.c via a FAST inner body that lacks server field
CVE-2021-36222 - MEDIUM -  krb5: Sending a request containing PA-ENCRYPTED-CHALLENGE padata element without using FAST could result in NULL dereference in KDC which leads to DoS
CVE-2022-1354 - MEDIUM -  libtiff: heap-buffer-overflow in TIFFReadRawDataStriped() in tiffinfo.c
CVE-2020-9794 - MEDIUM -  null
CVE-2021-39800 - MEDIUM -  null
CVE-2021-39801 - MEDIUM -  null
CVE-2021-39802 - MEDIUM -  null
CVE-2021-46322 - MEDIUM -  null
CVE-2020-16156 - MEDIUM -  perl-CPAN: Bypass of verification of signatures in CHECKSUMS files
CVE-2020-13962 - MEDIUM -  qt5: incorrectly calls SSL_shutdown() in OpenSSL mid-handshake causing denial of service in TLS applications
CVE-2022-25255 - MEDIUM -  qt: QProcess could execute a binary from the current working directory when not found in the PATH
CVE-2021-46141 - MEDIUM -  uriparser: Invalid free operations in uriFreeUriMembers and uriMakeOwner
CVE-2021-46142 - MEDIUM -  uriparser: Invalid free operations in uriNormalizeSyntax.
CVE-2018-1311 - MEDIUM -  xerces-c: XML parser contains a use-after-free error triggered during the scanning of external DTDs
CVE-2012-0880 - MEDIUM -  xml: xerces-c hash table collisions CPU usage DoS (oCERT-2011-003)
CVE-2021-20235 - MEDIUM -  zeromq: Heap overflow when receiving malformed ZMTP v1 packets
CVE-2021-20236 - MEDIUM -  zeromq: Stack overflow on server running PUB/XPUB socket
CVE-2020-15166 - MEDIUM -  zeromq: unauthenticated clients causing denial-of-service
