CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2018-5727 - LOW -  openjpeg: integer overflow in opj_t1_encode_cblks in src/lib/openjp2/t1.c
CVE-2021-29338 - LOW -  openjpeg: out-of-bounds write due to an integer overflow in opj_compress.c
CVE-2019-20838 - LOW -  pcre: Buffer over-read in JIT when UTF is disabled and \X or \R has fixed quantifier greater than 1
CVE-2020-14155 - LOW -  pcre: Integer overflow when parsing callout numeric arguments
CVE-2017-11164 - LOW -  pcre: OP_KETRMAX feature in the match function in pcre_exec.c
CVE-2019-10871 - LOW -  poppler: heap-based buffer over-read in function PSOutputDev::checkPageSlice in PSOutputDev.cc
CVE-2019-9543 - LOW -  poppler: recursive function call in JBIG2Stream::readGenericBitmap() in JBIG2Stream.cc causing denial of service
CVE-2019-9545 - LOW -  poppler: recursive function call in JBIG2Stream::readTextRegion() in JBIG2Stream.cc causing denial of service
CVE-2015-5237 - LOW -  protobuf: integer overflow in serialization
CVE-2015-20107 - LOW -  python(mailcap): findmatch() function does not sanitise the second argument
CVE-2015-9541 - LOW -  qt: XML entity expansion vulnerability
CVE-2021-3671 - LOW -  samba: Null pointer dereference on missing sname in TGS-REQ
CVE-2013-4235 - LOW -  shadow-utils: TOCTOU race conditions by copying and removing directory trees
CVE-2021-44269 - LOW -  wavpack: heap Out-of-bounds Read
CVE-2018-7727 - LOW -  zziplib: Memory leak in memdisk.c:zzip_mem_disk_new() can lead to denial of service via crafted zip
CVE-2018-16548 - LOW -  zziplib: Memory leak triggered in the function __zzip_parse_root_directory in zip.c
CVE-2018-17828 - LOW -  zziplib: directory traversal in unzzip_cat in the bins/unzzipcat-mem.c
CVE-2022-27404 - MEDIUM -  FreeType: Buffer Overflow
CVE-2019-9513 - MEDIUM -  HTTP/2: flood using PRIORITY frames results in excessive resource consumption
CVE-2019-9511 - MEDIUM -  HTTP/2: large amount of data requests leads to denial of service
CVE-2020-14410 - MEDIUM -  SDL2: Heap-based buffer over-read in Blit_3or4_to_3or4__inversed_rgb in video/SDL_blit_N.c via a crafted .BMP file
CVE-2020-14409 - MEDIUM -  SDL2: Integer overflow in SDL_BlitCopy in video/SDL_blit_copy.c via a crafted .BMP file
CVE-2019-13626 - MEDIUM -  SDL: integer overflow in IMA_ADPCM_decode() in audio/SDL_wave.c leads to heap-based buffer over-read in Fill_IMA_ADPCM_block
CVE-2022-27782 - MEDIUM -  curl: TLS and SSH connection too eager reuse
CVE-2022-1304 - MEDIUM -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2021-44648 - MEDIUM -  gdk-pixbuf: heap-buffer overflow when decoding the lzw compressed stream of image data
CVE-2017-17508 - MEDIUM -  hdf5: Divide-by-zero in the H5T_set_loc function
CVE-2018-17234 - MEDIUM -  hdf5: Memory leak in the H5O__chunk_deserialize() function in H5Ocache.c
CVE-2018-11204 - MEDIUM -  hdf5: NULL pointer dereference in H5O__chunk_deserialize in H5Ocache.c
CVE-2018-17432 - MEDIUM -  hdf5: NULL pointer dereference in H5O_sdspace_encode() in H5Osdspace.c
CVE-2017-17505 - MEDIUM -  hdf5: NULL pointer dereference in the H5O_pline_decode function
CVE-2019-8397 - MEDIUM -  hdf5: Out-of-Bounds Read in function H5T_close_real in H5T.c
CVE-2017-17506 - MEDIUM -  hdf5: Out-of-bounds read in the H5Opline_pline_decode function
CVE-2017-17507 - MEDIUM -  hdf5: Out-of-bounds read in the H5T_conv_struct_opt function
CVE-2017-17509 - MEDIUM -  hdf5: Out-of-bounds write in the H5G__ent_decode_vec function
CVE-2018-17233 - MEDIUM -  hdf5: SIGFPE signal in H5D__create_chunk_file_map_hyper() of H5Dchunk.c
CVE-2018-17434 - MEDIUM -  hdf5: SIGFPE signal in apply_filters() in h5repack_filters.c
CVE-2018-17438 - MEDIUM -  hdf5: SIGFPE signal in function H5D__select_io() of H5Dselect.c
CVE-2018-11203 - MEDIUM -  hdf5: division by zero in H5D__btree_decode_key in H5Dbtree.c
CVE-2018-11207 - MEDIUM -  hdf5: division by zero in H5D__chunk_init in H5Dchunk.c
CVE-2018-17433 - MEDIUM -  hdf5: heap-based buffer overflow in ReadGifImageDesc() in gifread.c
CVE-2018-17437 - MEDIUM -  hdf5: memory leak in H5O_dtype_decode_helper() in H5Odtype.c
CVE-2018-11206 - MEDIUM -  hdf5: out of bounds read in H5O_fill_new_decode and H5O_fill_old_decode in H5Ofill.c
CVE-2019-9152 - MEDIUM -  hdf5: out of bounds read in function H5MM_xstrdup in H5MM.c
CVE-2019-9151 - MEDIUM -  hdf5: out of bounds read in function H5VM_memcpyvv in H5VM.c
CVE-2020-13844 - MEDIUM -  kernel: ARM straight-line speculation vulnerability
CVE-2021-37750 - MEDIUM -  krb5: NULL pointer dereference in process_tgs_req() in kdc/do_tgs_req.c via a FAST inner body that lacks server field
CVE-2018-20217 - MEDIUM -  krb5: Reachable assertion in the KDC using S4U2Self requests
CVE-2021-36222 - MEDIUM -  krb5: Sending a request containing PA-ENCRYPTED-CHALLENGE padata element without using FAST could result in NULL dereference in KDC which leads to DoS
CVE-2022-0891 - MEDIUM -  libtiff: heap buffer overflow in extractImageSection
CVE-2022-1354 - MEDIUM -  libtiff: heap-buffer-overflow in TIFFReadRawDataStriped() in tiffinfo.c
CVE-2022-0865 - MEDIUM -  libtiff: reachable assertion
CVE-2022-29824 - MEDIUM -  libxml2: integer overflows in xmlBuf and xmlBuffer lead to out-of-bounds write
CVE-2022-21417 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2022)
CVE-2022-21451 - MEDIUM -  mysql: InnoDB unspecified vulnerability (CPU Apr 2022)
CVE-2022-21444 - MEDIUM -  mysql: Server: DDL unspecified vulnerability (CPU Apr 2022)
CVE-2022-21427 - MEDIUM -  mysql: Server: FTS unspecified vulnerability (CPU Apr 2022)
CVE-2022-21454 - MEDIUM -  mysql: Server: Group Replication Plugin unspecified vulnerability (CPU Apr 2022)
CVE-2022-21460 - MEDIUM -  mysql: Server: Logging unspecified vulnerability (CPU Apr 2022)
CVE-2020-9794 - MEDIUM -  null
CVE-2021-46322 - MEDIUM -  null
CVE-2018-21010 - MEDIUM -  openjpeg: heap buffer overflow in color_apply_icc_profile in bin/common/color.c
CVE-2020-27845 - MEDIUM -  openjpeg: heap-based buffer overflow in functions opj_pi_next_rlcp, opj_pi_next_rpcl and opj_pi_next_lrcp in openjp2/pi.c
CVE-2020-8112 - MEDIUM -  openjpeg: heap-based buffer overflow in pj_t1_clbl_decode_processor in openjp2/t1.c
CVE-2020-27814 - MEDIUM -  openjpeg: heap-buffer-overflow in lib/openjp2/mqc.c could result in DoS
CVE-2022-29155 - MEDIUM -  openldap: OpenLDAP SQL injection
CVE-2022-1292 - MEDIUM -  openssl: c_rehash script allows command injection
CVE-2020-16156 - MEDIUM -  perl-CPAN: Bypass of verification of signatures in CHECKSUMS files
CVE-2017-12627 - MEDIUM -  xerces-c: Null pointer dereference while processing the path to DTD allows denial of service
CVE-2018-1311 - MEDIUM -  xerces-c: XML parser contains a use-after-free error triggered during the scanning of external DTDs
CVE-2012-0880 - MEDIUM -  xml: xerces-c hash table collisions CPU usage DoS (oCERT-2011-003)
CVE-2021-20235 - MEDIUM -  zeromq: Heap overflow when receiving malformed ZMTP v1 packets
CVE-2021-20236 - MEDIUM -  zeromq: Stack overflow on server running PUB/XPUB socket
CVE-2020-15166 - MEDIUM -  zeromq: unauthenticated clients causing denial-of-service
